feature,AAVS1_Con_1,AAVS1_Con_2,AAVS1_Con_3,ACOT7_1,ACOT7_2,ACOT7_3,CEPT1_1,CEPT1_2,CEPT1_3,DECR2_1,DECR2_2,DECR2_3,ELOVL5_1,ELOVL5_2,ELOVL5_3,HSD17B12_1,HSD17B12_2,HSD17B12_3,MPDU1_1,MPDU1_2,MPDU1_3,ORMDL2_1,ORMDL2_2,ORMDL2_3,ORMDL2_4,ORMDL2_5,ORMDL2_6,SGMS1_1,SGMS1_2,SGMS1_3
CE 24:0;0,,,,,,,,,,0.075384148,0.065755151,0.07968288,,,,,,,0.058932372,0.068127408,0.073108847,,0.040917185,0.033089253,0.120394727,0.058353632,0.035878797,,,
CE 24:1;0,,,,,,,,,,0.100706864,0.103483004,0.09440044,,0.037666085,0.047697747,,,,0.059128146,0.07808251,0.055513794,0.06152964,0.08407212,0.078585046,0.164112648,0.083495001,0.072411107,0.064867046,0.05040269,0.055419016
CE 24:5;0,,,,0.039105111,0.037889825,0.040160954,,,,,,,,,,,,,,,,,,,,,,,,
CL 62:2;0,,,,,,,0.008797962,0.00315865,,,,,,,,,,,,,,,,,,,,,,
CL 62:3;0,0.006658197,,,,,,0.008740862,0.007814243,,,,,0.007100808,0.007583083,0.009046556,,,,,,,,,,,,,,,
CL 64:2;0,0.010125456,,0.010038785,,,,,,,,,,0.006838783,0.008563539,0.011341482,,,,,,,,,,0.00757914,0.007628748,0.006570023,,,
CL 64:3;0,0.02252542,0.026967712,0.019249955,,,,0.028962877,0.021375797,0.02567163,,,,,,,,,0.020752256,0.013410469,0.012870788,,0.011683809,,,0.012177289,0.013503005,0.013329732,,0.006487672,
CL 64:4;0,0.019202551,0.021940734,0.019440126,,,,0.023875483,0.017327731,0.021504493,0.017072868,0.01598362,0.015257428,0.042945063,0.044462981,0.04737693,,,0.03009239,0.012073033,0.012421598,,0.015021931,,0.018579788,0.009174499,0.009784428,0.011444485,,0.006294805,
CL 66:0;0,0.017332797,0.019902587,0.020314614,,,,0.01126358,0.006977875,0.042050951,,,,,,,0.180712003,0.14810101,0.029356915,0.015255915,0.011965626,0.163398531,0.00523064,0.155044712,0.06371639,0.012801587,0.008794521,0.011840224,0.203357819,0.008440783,0.156634478
CL 66:2;0,0.025732049,0.031612412,0.024706628,,,,0.014410846,0.012396527,0.0375531,,0.010628236,,,,0.027740611,,,,,,,0.009722788,0.105829481,0.031522795,0.019720422,0.01743911,0.019018444,,,
CL 66:3;0,0.042192221,0.057547442,0.037220236,,0.010047974,0.011443829,,0.026740387,,,0.007384883,,0.030177307,0.033141819,0.035711526,,,,0.026919315,0.022882422,,,,,0.031017379,0.023313696,0.030722228,,0.023796836,
CL 66:4;0,0.102142298,0.117598413,0.075787428,,0.029317313,0.034333203,0.077023025,0.067108325,0.073721937,0.068673023,0.065106162,0.069630954,0.132045245,0.145648936,0.157117963,,,0.09228939,0.059757803,0.050246934,0.086315511,0.072254155,0.087918651,0.106670329,0.049320373,0.049851535,0.047520048,0.054396991,0.038955824,0.053194174
CL 66:5;0,0.015484608,0.015285587,0.013118114,,0.008673134,,0.015489824,0.014534656,0.014920415,0.019091471,0.021257466,0.01425904,0.022039517,0.024149371,0.025256845,,,,0.011700756,0.009137019,,0.009268819,,,0.008929591,0.008094179,0.008242399,,0.006304794,
CL 68:2;0,0.039912362,0.05060345,0.034165188,0.104671078,0.063259878,0.083209401,,0.010024648,0.017798167,0.044151995,0.031075834,0.022903335,0.040009481,0.041644244,0.045902669,,,0.023136899,,0.018640272,0.064858526,,,,0.031605597,0.028123173,0.031273975,0.066921433,0.034502062,0.068101837
CL 68:3;0,0.092718766,0.106274345,0.06775719,,,,,,,,,,,,,,,0.069061839,0.008125417,,,0.054868333,,0.040602162,0.059597257,0.056998085,0.051559565,,0.038616441,0.068883112
CL 68:4;0,0.282628833,0.26612948,0.16787098,0.107844604,0.098545613,0.105475672,0.137648969,0.115547107,0.143375973,0.143292665,0.131463292,0.107214554,0.220381064,0.211996894,0.243770381,0.077286335,0.124628472,0.13861673,0.106921938,0.114005971,0.15814196,0.156436763,0.239931712,0.194239477,0.105073597,0.113282413,0.117380575,0.127448488,0.086887267,0.118206961
CL 68:5;0,0.071044803,0.083299712,0.051578188,0.073886964,0.06289905,0.061151971,0.064166061,0.042824987,0.073510292,0.091738252,0.082708975,0.080044893,0.078058584,0.081272029,0.086287812,0.096753742,,0.049904052,0.041394601,0.036087127,0.069840106,0.039431348,0.08221148,0.058379782,0.049226411,0.040842272,0.041847404,0.084490575,0.034034033,0.073401197
CL 68:6;0,0.011326339,0.013233375,0.00878677,,0.011202308,0.012256822,0.010369099,0.007335703,,0.018052235,0.01725156,0.014998229,0.014778,0.012420594,0.016021543,,,,0.006428863,0.00451889,,,,,,0.006448333,0.00505363,,,
CL 68:7;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL 70:0;0,0.066647588,0.084434545,0.07372249,,,,0.047174844,0.025798171,0.13953216,,,,,,,0.525769829,0.356511848,0.06913097,0.044784041,0.036075849,0.495697838,0.040707686,0.681430303,0.272376145,0.046662879,0.043260947,0.043022923,0.720831666,0.035031347,0.594786827
CL 70:2;0,0.021004936,0.051864748,0.041732459,,,,0.04550179,0.029322361,0.150720357,,,,,,,0.661248201,0.485352974,0.072265927,0.037058949,0.029575607,0.424277365,0.030304508,0.591068303,0.247235122,0.038175437,0.032342919,0.033045021,0.626817128,0.025260075,0.486827463
CL 70:4;0,0.114040943,0.121289731,0.078561162,0.077567396,0.092061442,0.097358427,0.033005555,0.036508129,0.051713321,0.046781756,0.047268579,0.03598473,0.058217551,0.05087397,0.057105797,,,0.047289701,0.031186841,0.009915254,0.041111004,0.045610029,,0.069299907,0.046037571,0.048620055,0.048180243,0.053488931,0.042677813,0.060656817
CL 70:5;0,0.130568723,0.143588714,0.09587288,0.134352419,0.155274088,0.160066174,0.068269054,0.055126525,0.074788491,0.11644856,0.114634771,0.119023175,0.089014486,0.088642962,0.098885761,,,0.043872848,0.058097547,0.052733923,0.04474993,0.056655614,,0.073856474,0.06665892,0.075184015,0.068587337,0.033638409,0.052059813,
CL 70:6;0,0.039375631,0.049104843,0.030381271,0.061152121,0.055949914,0.065733408,0.02814326,0.021733012,0.028406435,0.056678047,0.048544377,0.049836036,0.028781486,0.025407487,0.029366846,,,0.024332111,0.022441652,0.019840893,0.034947089,0.01633851,,0.025259042,0.023458613,0.025088028,0.022283206,0.047314235,0.021070166,0.0870756
CL 70:7;0,0.007541769,,,,0.011013741,0.007905191,,0.004306856,,0.009670221,0.010204746,,0.005302717,0.006416356,0.007015139,,,,,,,,,,,,,,,
CL 70:8;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL 72:0;0,0.004228713,,,,,,,,,,,,,,,,,,,,0.042900655,,,,,,,,,
CL 72:2;0,,0.015486875,0.012664154,,,,,,0.028535104,,,,,,,,,,,,,,0.072925244,0.021385283,,,,,,
CL 72:4;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL 72:5;0,,,,,,,,,,,,,,,,,,,,,,0.01344692,,,,0.018565391,,,,
CL 72:6;0,0.038538815,0.042360545,0.030288791,0.083977765,0.088625193,0.092002641,0.019070203,0.011929761,0.02139161,0.037926639,0.032986776,0.025494604,0.014595315,0.013329789,0.017437169,,,,0.011864662,0.009543478,,0.012940381,,,0.017818213,0.019084673,0.016766214,,0.013767732,
CL 72:7;0,0.012465284,0.012671391,0.012539226,,0.032182536,0.031975704,0.008695351,0.007145919,,0.012862923,0.016926493,,,0.004337983,0.006953172,,,,0.007446787,,,,,,,0.00724159,0.005806763,,,
CL 72:8;0,,,,,0.005948151,,,,,,,,,,,,,,,,,,,,,,,,,
CL 72:9;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL 74:2;0,0.09351521,0.129075947,0.102196655,,,,,,,,,,,,,,,,,,0.679734545,,,,,,,,0.050154745,
CL 74:6;0,0.008926253,,0.01236495,,,,,,0.016694805,,,,,,,,,,,0.004825614,,,,,,,,0.075860981,,0.054109988
CL 74:8;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047853688
CL 76:12;0,,,,,,,,,,,,,,,,,,0.017714506,,,,,,,,,,,,0.062089516
CL 82:8;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer 32:1;2,0.006092455,0.007044497,0.005181589,0.005803066,0.006540668,0.006833369,0.007197927,0.007381976,0.007745992,0.007330929,0.005607668,0.006555264,0.005983395,0.006943709,0.006359437,0.009492106,0.010070733,0.008777592,0.007189575,0.006978899,0.007686599,0.006368117,0.006803321,0.005926271,0.005939383,0.004952181,0.007156611,0.00896115,0.007208731,0.007194238
Cer 34:0;1,0.00261356,0.002328498,0.003290798,,0.001651255,,0.005394155,0.005463661,0.004902731,,,,,,,0.003712809,0.003592402,0.003437317,0.003669324,0.003437969,0.003672983,0.009725425,0.010521341,0.009577199,0.002377223,0.002986057,,,,
Cer 34:0;2,0.0059134,0.00550039,0.006144102,0.002478963,0.003327868,0.002288553,0.003768719,0.00331943,0.003910432,0.006542504,0.006420486,0.004468159,0.003763144,0.003219143,0.00368478,0.009696293,0.00942112,0.010629627,0.004172904,0.004271884,0.004150097,0.012791485,0.011701052,0.007904516,0.004856466,0.004443919,0.005273786,,,
Cer 34:1;1,,,,,,,,,,,,,,,,,,,,,,,0.001806832,0.001652609,,,,,,
Cer 34:1;2,0.052582585,0.06081516,0.057896421,0.085248747,0.084941575,0.082738184,0.06839089,0.062582657,0.066363007,0.100921652,0.089185498,0.093214176,0.081191485,0.087987292,0.086286429,0.082907504,0.0827374,0.077757319,0.092546522,0.096164157,0.097014785,0.071539589,0.079730454,0.076626827,0.065792655,0.064017399,0.0677639,0.102586579,0.103553461,0.099340279
Cer 34:1;3,,,,,,,,,,,,,,,,,,,,,,,,,0.003101844,,0.003482662,,,
Cer 34:1;4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer 34:2;2,0.009074274,0.011179089,0.010221742,0.006643342,0.006589336,0.005374551,0.009054057,0.008177002,0.008476876,0.01175636,0.010076752,0.010536475,0.011043353,0.01075232,0.011622502,0.020324836,0.016287482,0.015457527,0.012520796,0.012823325,0.012050205,0.009415642,0.012530013,0.010925561,0.008394481,0.009362977,0.010429732,0.013889017,0.014238562,0.013968967
Cer 36:1;1,,,,,,,,,,,,,,,0.003931881,,,,,,,,,,,,0.00330296,0.005339435,,
Cer 36:1;2,,0.002716806,,,0.003190385,,,0.003306041,0.004435078,,,,,,0.005886868,0.004920565,0.003585105,0.003210097,0.003830989,0.003097842,0.003577602,,0.002204737,,0.002816375,0.002412307,0.003531882,0.006171206,0.003402938,
Cer 36:1;3,,0.002782487,,,,,,,,,,,,,,0.033980631,,,0.001996669,,0.003573509,,,,,,0.005848324,0.004759878,,
Cer 36:2;2,,,,,,,,,,,,,,,,0.007079074,0.004778298,0.002376759,,,,,,,,,,,,
Cer 38:1;1,,0.00213096,0.002130316,,,,,,,,,,,,,,,,,,,,0.002015167,,,,,0.003219537,,
Cer 38:1;2,,,0.0020467,0.002143133,0.002651047,0.002106775,,,,0.003916085,0.003356583,0.002972628,,,0.003245301,0.002334081,0.002751356,,0.002760542,0.002410695,,,0.001926232,,,,0.003300337,0.00385965,,
Cer 38:1;3,,,,,,,,,,,,,,,,,,,,,,,,,0.003165524,,0.004061812,0.003025244,,
Cer 40:0;1,,,,,,,,0.002185915,,,,,,,,,,,,,,,0.00299877,0.00274249,,,,,,
Cer 40:0;2,,,0.001851469,,,,,,,0.003543452,0.003100503,,,,,,,,,,,,0.00249778,,,,,,,
Cer 40:1;1,0.005303939,0.006322668,0.007537296,0.00262742,0.002665732,0.002503537,0.00328689,0.003209151,,,,,,,,,,,,,,0.004770946,0.004806392,0.00379917,,0.002310404,,,,
Cer 40:1;2,0.012962289,0.012525303,0.012751045,0.016727597,0.015440913,0.014489218,0.009604557,0.00759169,0.009293074,0.017536446,0.016506068,0.016110324,0.012528793,0.013734571,0.012770191,0.015057204,0.014190117,0.014260668,0.014157138,0.014540034,0.01306468,0.009262518,0.010670742,0.008561711,0.011066071,0.010432549,0.011332144,0.015010775,0.015901449,0.015901347
Cer 40:2;2,0.004574674,0.006094152,0.005957063,0.005551847,0.005090521,0.004757396,0.004751587,0.004260736,0.004192853,0.007399625,0.006529182,0.007341559,0.005961969,0.005408232,0.005762,0.00705052,0.007262562,0.00664702,0.00603043,0.005441457,0.005997837,0.004321617,0.006157986,0.004937122,0.0035839,0.00418875,0.004546123,0.007337526,0.006124695,0.007747064
Cer 42:0;1,,0.003330302,0.004168184,0.002229298,0.002243211,,0.006039177,0.005418408,0.004548013,,,,,,,,,,0.002921073,0.003226537,0.00337193,0.009125805,0.00909452,0.00924967,0.002646279,0.003052202,,,,
Cer 42:0;2,0.006641733,0.005359441,0.008857304,,,,,0.002645105,,0.010690926,0.007203761,0.007443651,,,,,,,0.002976733,0.002511474,,0.006144712,0.006398881,0.004338722,0.002881328,0.004454208,0.005339109,,,
Cer 42:0;3,,,,,,,,,,,,,,,,,,,,,,,0.003815651,,,,,,,
Cer 42:1;1,0.016826863,0.019014717,0.024090357,0.007627322,0.008101463,0.00807497,0.012863938,0.015277727,0.01269187,0.00490119,0.00516706,0.004984763,0.005520563,0.005641834,0.006963209,0.002553152,0.003634261,0.002097408,0.007259045,0.008130037,0.007681219,0.019276273,0.022347251,0.022007791,0.01060735,0.011276865,0.010201914,0.003861478,0.002896009,0.004331303
Cer 42:1;2,0.060836172,0.054899132,0.061004714,0.054345272,0.056294986,0.055498011,0.042233952,0.04057763,0.039458366,0.067752461,0.061975199,0.064820256,0.060331563,0.062897888,0.064234934,0.024402131,0.025031795,0.025453728,0.061927303,0.066029925,0.063810168,0.053004066,0.06007101,0.053415865,0.066922084,0.061445058,0.065019698,0.059185513,0.059913444,0.064080074
Cer 42:1;3,,,,,,,,,,,,,,,,,,,,,,,0.00347258,,,,,,,
Cer 42:2;1,0.006867403,0.008387054,0.010704426,0.004399511,0.004766886,0.004812165,0.008774568,0.009957113,0.00759322,,,,,,,0.002480286,0.002758279,,0.002615373,0.002983178,0.002917239,0.007214838,0.008030451,0.00980174,0.004396197,0.00439108,0.005729155,,,
Cer 42:2;2,0.044353457,0.045923545,0.047038234,0.051125726,0.051791371,0.051611039,0.042944099,0.043883024,0.041948928,0.058144823,0.053647541,0.057047946,0.049483045,0.054164588,0.052059342,0.037300666,0.045327012,0.040552223,0.052012161,0.054092686,0.05500021,,,,,,,0.064839242,0.064483635,0.067234004
Cer 44:0;2,,,,,,,,,,,,,,,,,,,,,,,0.003364496,,,,,,,
Cer 44:0;3,,,,,,,,,,,,,,,,,,,,,,,0.003520799,,,,,,,
Cer 44:1;2,0.005663442,0.006380218,0.007535598,0.00384156,0.004443237,0.004329316,0.003022538,0.002971775,0.003205027,0.005539658,0.007183543,0.004684283,0.006023631,0.005917963,0.005719293,,,,0.006880228,0.006445069,0.006047182,0.009641454,0.011491526,0.008453946,0.008821172,0.007167862,0.009899384,0.00502428,0.005450964,0.004862878
Cer 44:1;3,,,,,,,,,,,,,,,,,,,,,,,0.002854565,,,,,,,
Cer 44:2;2,0.004890961,0.006129354,0.006942939,0.004810545,0.005442985,0.004579331,0.007349704,0.007081401,0.007124928,0.004722919,0.004307893,0.004382571,0.004559896,0.004862097,0.005567719,,,,0.006289358,0.007450154,0.006512732,0.007094811,0.009106494,0.008301787,0.007088846,0.006541878,0.007291733,0.004796192,0.005162428,0.005440501
DAG 12:0;0_18:0;0,,0.000243392,,,,,0.000397423,,0.000388202,,,,,,,,,,0.000413667,0.000392873,0.000368046,,,,,,,,,
DAG 14:0;0_16:0;0,0.056164132,0.045343541,0.049385327,0.042967731,0.041533223,0.043553835,0.13103174,0.127469843,0.1294903,0.046855634,0.048222082,0.042214034,0.074744687,0.071946078,0.081740285,0.033409401,0.030918028,0.032808962,0.098134793,0.100146815,0.097379888,0.041344788,0.045734834,0.047910875,0.039086426,0.084416996,0.044258826,0.056358029,0.054285786,0.059506839
DAG 15:0;0_15:0;0,,,,,,,0.000627085,0.000802385,0.000583092,,,,,,,0.000201287,,0.000275881,0.000807569,0.000684616,0.000714106,0.000295305,0.00105715,0.00032739,0.001741193,0.007509536,0.000619053,0.000218587,0.000220228,0.000230089
DAG 12:0;0_18:1;0,0.001744218,0.001376549,0.001623164,,0.002212674,0.001810618,0.003946735,0.004011582,0.00331949,0.002164926,0.003188327,,0.001408383,0.000840063,0.001264973,0.000591544,0.000669481,0.000795102,0.00217749,0.002880942,0.00241888,0.000819015,0.001186265,0.000943801,,0.003549289,0.000559011,0.001594171,0.001526166,0.001376428
DAG 14:0;0_16:1;0,0.020408805,0.01652849,0.017554767,,0.007500224,,0.058864283,0.064203604,0.054279152,,0.015885291,,0.032075705,0.030840829,0.040277295,0.036828731,0.030729118,0.032406568,0.039573403,0.043586964,0.040343393,0.015674187,0.022510344,0.022131142,0.023066589,0.061709626,0.020057656,0.02259283,0.022800279,0.018671603
DAG 14:1;0_16:0;0,0.009776515,0.007742924,0.008897119,,0.004924312,0.003411002,0.02805829,0.028617275,0.026465795,0.00314583,0.006473158,,0.01418415,0.013997318,0.018629327,0.00834365,0.007387498,0.007921951,0.014044653,0.016312262,0.013672861,0.005751713,0.008071149,0.008124521,0.007977525,0.022235695,0.006705639,0.008293673,0.007800861,0.006639796
DAG 14:1;0_16:1;0,,,,,,,0.017302163,0.01966841,,,,,,,,,,,,,,,,,,0.019355972,,,,
DAG 14:0;0_17:0;0,,,,,,,,,,,,,,,,,,,0.001682694,0.001095874,,,0.000555815,,0.00297366,0.010603163,0.000976609,,,
DAG 15:0;0_16:0;0,,,,,,,,,,,0.02551077,,,,,,,,0.022526452,0.015271233,,,0.012668939,,0.028887162,0.072464724,0.013450436,,,
DAG 14:0;0_17:1;0,,,,,,,,,,,0.001918338,,,,,,,,,0.001289294,,,,,0.002822085,0.009546547,0.001144263,,,
DAG 15:0;0_16:1;0,,,,,,,,,,,,,,,,,,,,0.004278788,,,,,0.013776159,0.051475362,0.004886168,,,
DAG 15:1;0_16:0;0,,,,,,,,,,,0.013542377,,,,,,,,,0.00620216,,,,,0.013243846,0.029197612,0.006081044,,,
DAG 14:0;0_18:0;0,0.019161506,0.014136668,0.01699769,,,,0.018603194,0.018850155,0.020529502,,,,,,,,,,0.027749453,0.030455727,0.025952031,,,,,0.016058977,,,,
DAG 15:0;0_17:0;0,,,,,,,,,,,,,,,,,,0.00034337,0.000568516,0.000809127,,,0.001563464,,0.003463098,0.010546485,0.000911929,,,
DAG 16:0;0_16:0;0,0.097075461,0.08040822,0.089802848,0.128865642,0.133605148,0.143948039,0.206373308,0.216578451,0.225726541,0.133667591,0.142891329,0.128868395,0.196398409,0.170704102,0.197339611,0.066110609,0.060127378,0.055423182,0.184732123,0.208561684,0.194774387,0.100630059,0.115206345,0.106680514,0.085443356,0.156003909,0.09242185,0.138642997,0.147443137,0.145237019
DAG 14:0;0_18:1;0,0.05214224,0.047693513,0.042867901,0.02419364,0.027307145,0.029018765,0.083741242,0.097063269,0.095042946,0.032595005,0.036138908,0.030746857,0.039222062,0.039237638,0.047039981,0.053602962,0.044467746,0.047183405,0.12353734,0.130230432,0.125430527,0.044786251,0.047947205,0.046515854,0.034777378,0.06444777,0.039901311,0.061085669,0.064205287,0.065249879
DAG 14:1;0_18:0;0,0.005166033,0.004278805,0.004342576,0.000649808,,0.000695587,0.00753156,0.008105924,0.008279304,0.001340919,,0.001081908,0.007365188,0.008587357,0.009281079,0.003592981,0.003108486,0.003336052,0.006534312,0.007397624,0.006029286,,0.001474794,0.001289888,0.00310515,0.005861061,0.003599761,0.0022145,0.003053879,0.002539683
DAG 15:0;0_17:1;0,,,,,,,,,,,0.001257194,,,,,,,,,,,,0.001222508,0.000990304,0.001194882,0.006893307,0.000568897,,,
DAG 16:0;0_16:1;0,0.126684507,0.122929938,0.114102392,0.06449865,0.076616888,0.072950716,0.243293477,0.293669906,0.271465106,0.084194911,0.099721776,0.076502784,0.281502375,0.298798634,0.329821418,0.370921138,0.329005206,0.336763494,0.536175619,0.555590659,0.560637794,0.285334783,0.315308793,0.306005344,0.243559452,0.376670962,0.255429152,0.287428215,0.317262162,0.303548858
DAG 14:0;0_18:2;0,0.001210663,0.001162576,0.000994456,,,0.002094268,0.002434489,0.004123825,0.003673808,,0.004128451,,0.001386095,0.001077539,0.001417861,,0.001184843,0.001613277,0.002178167,0.002737511,0.002982835,0.001328838,0.002292987,0.000736106,0.002428066,0.010976707,0.001350317,0.0012522,0.001391908,0.000703539
DAG 14:1;0_18:1;0,0.008686468,0.007244022,0.008022358,,,0.003675706,0.028085039,0.028654234,0.029178166,,0.0046844,,0.006813829,0.006147849,0.00720863,0.008340359,0.007349745,0.006988214,0.008943427,0.009706628,0.009612333,0.00314122,0.005651155,0.004321199,0.005744848,0.017091734,0.004213996,0.004412443,0.004159322,0.004473024
DAG 16:0;0_16:2;0,0.000952792,0.000834836,,,,0.002849584,,,,,,,0.002470369,0.001926028,0.002081067,,,0.001253465,0.002951879,0.003082813,0.003565177,,0.002713638,0.002388674,0.002108013,0.005878098,0.002060883,0.001972317,0.001690891,0.0015028
DAG 16:1;0_16:1;0,0.014043572,0.012244956,0.01264963,,,,0.089595578,0.097813471,0.084535391,,0.023114779,,0.05929284,0.058468485,0.0605899,0.080958513,0.0636073,0.062946571,0.036051706,0.036307884,0.042481735,0.041377296,0.049582615,0.041837808,0.044456606,0.099396792,0.031572426,0.023962295,0.024049782,0.024174822
DAG 16:1;0_16:2;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAG 15:0;0_18:0;0,,,,,,,,,,,,,,,,,,,0.002524602,0.00181228,,,,,0.00384996,0.008229884,0.001457359,,,
DAG 16:0;0_17:0;0,,,,,,,,,,,,,,,,,,,0.022348841,0.016801915,,,,,0.028184578,0.052916245,0.013657584,,,
