feature,AAVS1_Con_1,AAVS1_Con_2,AAVS1_Con_3,CERS2_1,CERS2_2,CERS2_3,CERS2_4,CERS2_5,CERS2_6,FADS3_1,FADS3_2,FADS3_3,GNPAT_1,GNPAT_2,GNPAT_3
DAG 15:0;0_17:0;0,,0.000153108,,,,,0.000607691,,,,,,,,
DAG 16:0;0_16:0;0,0.062249353,0.059102416,0.052598811,0.080722066,0.083801305,0.086952274,0.114066855,0.108722808,0.104455446,0.10832736,0.110897111,0.139129589,0.125137577,0.122352932,0.106929057
DAG 14:0;0_18:1;0,0.033907277,0.046122344,0.040453076,0.030490468,0.027845943,0.038243174,0.053084526,0.043534678,0.038488478,0.033811003,0.036563036,0.047383855,0.043098703,0.043771621,0.037235528
DAG 14:1;0_18:0;0,0.005410916,0.006267611,0.004988101,0.002736008,0.002390707,0.00299677,0.003524821,0.003064807,0.003013356,0.002438397,0.00293225,0.004471626,0.003415307,0.003327291,0.002973793
DAG 15:0;0_17:1;0,,0.00044197,,,,,,,0.000264098,,,,,,
DAG 16:0;0_16:1;0,0.103885838,0.144649408,0.125642075,0.10062702,0.090310782,0.136429011,0.216731142,0.163476354,0.14191507,0.101839391,0.108793155,0.138599408,0.178660987,0.180046423,0.147838666
DAG 14:0;0_18:2;0,0.001463136,0.002145043,0.001801184,0.000961418,0.000681415,0.001514027,0.002018305,0.001578818,0.001409744,0.001107812,0.001156308,0.001496624,0.001395555,0.001565893,0.001660437
DAG 14:1;0_18:1;0,0.007961638,0.010030494,0.007527535,0.004658002,0.003699896,0.005781456,0.006019073,0.00478596,0.005342138,0.004136417,0.004834576,0.006499989,0.005098565,0.005608198,0.006473428
DAG 16:0;0_16:2;0,0.001955158,0.002769506,0.002266639,,0.001428638,0.00217546,0.00347246,0.002744819,0.002845332,0.002126281,0.002441192,0.002594893,0.001679955,0.001909874,0.001828279
DAG 16:1;0_16:1;0,0.023578117,0.033600174,0.026822223,0.016184559,0.012053042,0.021411223,0.029022263,0.021068368,0.019897333,0.013517948,0.014392213,0.016869028,0.025167978,0.028426165,0.028514189
DAG 15:0;0_18:0;0,,,,,,,,,,,,,,,
DAG 16:0;0_17:0;0,,,,,,,,,,,,,,,
DAG 14:0;0_19:1;0,,0.000483538,0.000427988,,0.000286803,,0.000459823,,0.000353024,0.00043183,0.000407136,0.000559538,0.000309888,0.000462293,0.000484644
DAG 15:0;0_18:1;0,0.00402755,0.004516352,0.004123084,,0.002363856,0.00392916,0.007496076,0.004725721,0.00519571,0.003793431,0.003963942,0.004920724,0.004438916,0.003808572,0.003239118
DAG 16:0;0_17:1;0,0.011532012,0.010506134,0.010265313,,0.006622941,0.010234774,0.018234859,0.011878158,0.013451782,0.010124654,0.010365701,0.012633617,0.013528537,0.011403,0.010935152
DAG 16:1;0_17:0;0,0.006232016,0.005048427,0.00516945,,0.004248308,0.004115823,0.007253649,0.00500573,0.005717326,0.004909151,0.006621268,0.005045794,0.007173639,0.005633508,0.006147352
DAG 15:0;0_18:2;0,,,,,,,,,,,,,,,
DAG 15:1;0_18:1;0,,,,,,,,,,,,,,,
DAG 16:1;0_17:1;0,,,,,,,,,,,,,,,
DAG 16:0;0_18:0;0,0.065076822,0.063923892,0.061882816,0.069448311,0.070736021,0.074549768,0.11677148,0.104721882,0.09837949,0.099687057,0.100747763,0.106685154,0.097235636,0.101862419,0.09800883
DAG 14:0;0_20:1;0,0.001917266,0.002581327,0.002129805,0.002409335,0.001808609,0.002721609,0.003789813,0.003965381,0.003970401,0.002128569,0.002281468,0.002682106,0.003335147,0.003482375,0.002766669
DAG 16:0;0_18:1;0,0.204686096,0.265339519,0.219094714,0.198634607,0.17311815,0.252074293,0.419102501,0.372327067,0.333470127,0.243173265,0.238667041,0.305153166,0.309318657,0.33110848,0.272198664
DAG 16:1;0_18:0;0,0.024235592,0.028086584,0.022563906,0.018817469,0.015831482,0.02239577,0.029414722,0.027771608,0.02658499,0.019048757,0.020041419,0.026257183,0.027353222,0.028959194,0.025559983
DAG 17:0;0_17:1;0,0.000587885,,0.000626729,,0.000540619,,,,0.000595762,,,,,,0.000896543
DAG 14:1;0_20:1;0,,,,,,,,,,,,,,,
DAG 16:0;0_18:2;0,0.012317326,0.015207387,0.014711081,0.009441552,0.007816333,0.013869113,0.023168809,0.017132914,0.013955004,0.012255615,0.010659269,0.014877932,0.017046296,0.016319852,0.014978364
DAG 16:1;0_18:1;0,0.087134014,0.100339737,0.090199176,0.061559239,0.051972309,0.089279797,0.125720312,0.106256455,0.085969582,0.059996354,0.05248978,0.07756562,0.106112762,0.104874507,0.100140062
DAG 17:1;0_17:1;0,0.000263957,0.000141856,0.000146815,0.000269957,0.000149853,0.000100074,0.00038554,0.000331798,0.000103775,,,0.000366481,0.000311382,0.000282084,0.000361196
DAG 16:0;0_18:3;0,,,,,,,,,,,,,,,
DAG 16:1;0_18:2;0,,,,,,,,,,,,,,,
DAG 16:2;0_18:1;0,,,,,,,,,,,,,,,
DAG 17:0;0_18:0;0,,,,,,,,,,,,,,,
DAG 15:0;0_20:1;0,,0.000282099,,,,,,,0.00038303,,,,,,
DAG 16:0;0_19:1;0,0.001303723,0.001990871,0.001620286,,,0.001684074,0.00357641,0.002157676,0.002039818,,,,0.002166457,,0.001339174
DAG 16:1;0_19:0;0,0.000435684,0.000476665,0.00042892,,,0.000390354,0.00058882,0.000510994,0.000274457,,,,0.000455045,,0.000288749
DAG 17:0;0_18:1;0,0.008301406,0.009383034,0.008941076,,,0.007288348,0.012372282,0.009182087,0.00774384,,,,0.010678675,,0.007138512
DAG 17:1;0_18:0;0,0.004314184,0.00486749,0.004804164,,,0.002965332,0.005487266,0.004298638,0.003693371,,,,0.005988492,,0.004123042
DAG 16:1;0_19:1;0,,0.001397148,,,,,0.001618389,,,,,,,0.001855843,
DAG 17:0;0_18:2;0,,0.000517162,,,,,0.000621612,,,,,,,0.000627444,
DAG 17:1;0_18:1;0,,0.00933638,,,,,0.009592887,,,,,,,0.011678477,
DAG 14:0;0_22:1;0,,,,,,,,,0.000274896,,,,,,
DAG 16:0;0_20:1;0,0.008997392,0.010159279,0.008934101,0.012331432,0.012693423,0.013992843,0.026956516,0.02172389,0.023787668,0.014434355,0.013303618,0.016580533,0.029732718,0.01972909,0.018265068
DAG 18:0;0_18:1;0,0.104509669,0.099200346,0.084396098,0.07745849,0.067589136,0.081745407,0.150414223,0.131993725,0.134468104,0.0910703,0.086449617,0.112103846,0.118775601,0.078535934,0.084925099
DAG 16:0;0_20:2;0,0.002565615,0.002901344,0.002889074,0.00260515,0.002631006,0.00312511,0.004523585,0.00430392,0.004043762,0.003329911,0.003193961,0.003866614,0.003581009,0.0034267,0.003097824
DAG 16:1;0_20:1;0,0.005675754,0.006197023,0.006640375,0.006160895,0.005461343,0.007825959,0.013740112,0.012193371,0.010994839,0.006132451,0.00557982,0.006831885,0.012347935,0.011499454,0.011124818
DAG 18:0;0_18:2;0,0.007319001,0.008399947,0.009110995,0.005668436,0.005109139,0.006807687,0.010224932,0.009147287,0.00821159,0.007202119,0.006793465,0.008246802,0.007668854,0.007415926,0.007434888
DAG 18:1;0_18:1;0,0.079464982,0.09125002,0.089689647,0.06733307,0.060974606,0.089080694,0.148539578,0.118938747,0.107496934,0.072945473,0.067647755,0.08194561,0.101197349,0.095574148,0.094648408
DAG 16:0;0_20:3;0,0.007080719,0.007633527,0.006989736,,,0.006009037,0.006568975,0.006924532,0.005738405,,,0.008869923,0.009447128,0.007521736,0.007124974
DAG 16:1;0_20:2;0,0.000889078,0.001010018,0.000821233,,,0.000956887,0.001199895,0.001022979,0.000704673,,,0.000922667,0.001599031,0.001307503,0.001188951
DAG 18:0;0_18:3;0,,0.000605627,0.000625995,,,,0.000477331,0.000532488,,,,0.000847311,0.000689205,0.000532211,
DAG 18:1;0_18:2;0,0.010848404,0.012454511,0.010888508,,,0.009773218,0.013637265,0.011787879,0.009345441,,,0.010905117,0.015256763,0.012888965,0.012659672
DAG 16:0;0_20:4;0,,0.010179269,,,,,,,,,,,,0.011903195,0.012410865
DAG 16:1;0_20:3;0,,0.001586254,,,,,,,,,,,,0.002141855,0.002122243
