"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PI_18:1;0_18:1;0 --> DAG_18:1;0_18:1;0 --> TAG_48:2;0","PI_18:1;0_18:1;0","TAG_48:2;0",-5.60399044929438,-0.926648099197284,"Suppressed","no","18:1;0_18:1;0"
"DAG_16:0;0_18:1;0 --> TAG_54:5;0","DAG_16:0;0_18:1;0","TAG_54:5;0",-4.96889272078788,-0.926726657777234,"Suppressed","no","16:0;0_18:1;0"
"DAG_16:0;0_18:1;0 --> PE_16:0;0_18:1;0 --> LPE_18:1;0","DAG_16:0;0_18:1;0","LPE_18:1;0",-5.60945938694174,-0.929304517737999,"Suppressed","no","16:0;0_18:1;0"
"DAG_16:0;0_18:0;0 --> TAG_52:4;0","DAG_16:0;0_18:0;0","TAG_52:4;0",-4.97492787507944,-0.929670339052887,"Suppressed","no","16:0;0_18:0;0"
"PI_18:0;0_18:2;0 --> DAG_18:0;0_18:2;0 --> TAG_58:8;0","PI_18:0;0_18:2;0","TAG_58:8;0",-5.61676533951404,-0.932853226668704,"Suppressed","no","18:0;0_18:2;0"
"PC_16:0;0_18:0;0 --> LPC_18:0;0","PC_16:0;0_18:0;0","LPC_18:0;0",-4.9870849905881,-0.935600042182239,"Suppressed","no","16:0;0_18:0;0"
"DAG_16:0;0_18:1;0 --> TAG_56:3;0","DAG_16:0;0_18:1;0","TAG_56:3;0",-4.99604188161293,-0.939968817382356,"Suppressed","no","16:0;0_18:1;0"
"DAG_16:0;0_18:1;0 --> TAG_51:1;0","DAG_16:0;0_18:1;0","TAG_51:1;0",-4.99716726290793,-0.940517728592581,"Suppressed","no","16:0;0_18:1;0"
"DAG_18:2;0_18:2;0 --> TAG_58:7;0","DAG_18:2;0_18:2;0","TAG_58:7;0",-5.00202169930201,-0.942885507911344,"Suppressed","no","18:2;0_18:2;0"
"DAG_18:1;0_18:2;0 --> TAG_48:3;0","DAG_18:1;0_18:2;0","TAG_48:3;0",-5.01407326495589,-0.948763728490932,"Suppressed","no","18:1;0_18:2;0"
"PI_18:0;0_18:2;0 --> DAG_18:0;0_18:2;0 --> TAG_52:2;0","PI_18:0;0_18:2;0","TAG_52:2;0",-5.65079771040457,-0.949383717021197,"Suppressed","no","18:0;0_18:2;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> PC_16:0;0_18:1;0 --> LPC_16:0;0","PI_16:0;0_18:1;0","LPC_16:0;0",-6.19497370539866,-0.953474232455923,"Suppressed","no","16:0;0_18:1;0"
"PC_16:0;0_22:4;0 --> LPC_16:0;0","PC_16:0;0_22:4;0","LPC_16:0;0",-5.02991829097422,-0.956492231218297,"Suppressed","no","16:0;0_22:4;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_49:2;0","PI_16:0;0_18:1;0","TAG_49:2;0",-5.68356078472833,-0.965297673935015,"Suppressed","no","16:0;0_18:1;0"
"PI_18:1;0_18:2;0 --> DAG_18:1;0_18:2;0 --> TAG_51:3;0","PI_18:1;0_18:2;0","TAG_51:3;0",-5.6872052413979,-0.967067890180312,"Suppressed","no","18:1;0_18:2;0"
"DAG_16:0;0_18:0;0 --> TAG_50:1;0","DAG_16:0;0_18:0;0","TAG_50:1;0",-5.05206345643019,-0.967293663252958,"Suppressed","no","16:0;0_18:0;0"
"PI_18:0;0_18:2;0 --> DAG_18:0;0_18:2;0 --> TAG_53:4;0","PI_18:0;0_18:2;0","TAG_53:4;0",-5.69638408338587,-0.971526314761347,"Suppressed","no","18:0;0_18:2;0"
"PI_16:0;0_18:1;0 --> DAG_16:0;0_18:1;0 --> TAG_48:2;0","PI_16:0;0_18:1;0","TAG_48:2;0",-5.70047268815188,-0.973512266367746,"Suppressed","no","16:0;0_18:1;0"
"DAG_16:0;0_18:1;0 --> TAG_48:1;0","DAG_16:0;0_18:1;0","TAG_48:1;0",-5.06627501809587,-0.974225434331547,"Suppressed","no","16:0;0_18:1;0"
