"path","from","to","score","cal_score","Type","Significant","rep_lipid"
"LPA_20:4;0 --> PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> LPE_20:4;0","LPA_20:4;0","LPE_20:4;0",3.69808213772479,4.3477498877996,"Active","yes","18:0;0_20:4;0"
"G3P --> LPA_20:4;0 --> PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0 --> PE_18:1;0_20:4;0","G3P","PE_18:1;0_20:4;0",2.28562103191383,4.32740862931233,"Active","yes","18:1;0_20:4;0"
"G3P --> LPA_20:4;0 --> PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","G3P","PS_18:1;0_20:4;0",2.28562103191383,4.32740862931233,"Active","yes","18:1;0_20:4;0"
"PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> LPC_20:4;0","PA_18:0;0_20:4;0","LPC_20:4;0",3.00825237473362,4.31627305028269,"Active","yes","18:0;0_20:4;0"
"PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> LPE_20:4;0","PA_18:0;0_20:4;0","LPE_20:4;0",4.16369353445008,4.31582162585533,"Active","yes","18:0;0_20:4;0"
"LPA_20:4;0 --> PA_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0 --> LPC_20:4;0","LPA_20:4;0","LPC_20:4;0",2.9992993012753,4.31226062893426,"Active","yes","18:0;0_20:4;0"
"LPA_20:4;0 --> PA_18:0;0_20:4;0 --> PI_18:0;0_20:4;0 --> DAG_18:0;0_20:4;0 --> PE_18:0;0_20:4;0 --> PC_18:0;0_20:4;0","LPA_20:4;0","PC_18:0;0_20:4;0",2.94184524632279,4.28651194299772,"Active","yes","18:0;0_20:4;0"
"LPA_20:4;0 --> PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","LPA_20:4;0","PS_18:1;0_20:4;0",3.55090092597266,4.28213872731064,"Active","yes","18:1;0_20:4;0"
"G3P --> LPA_20:4;0 --> PA_18:1;0_20:4;0 --> PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0 --> PE_18:1;0_20:4;0","G3P","PE_18:1;0_20:4;0",1.80850443409689,4.27480003040901,"Active","yes","18:1;0_20:4;0"
"G3P --> LPA_20:4;0 --> PA_18:1;0_20:4;0 --> PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","G3P","PS_18:1;0_20:4;0",1.80850443409689,4.27480003040901,"Active","yes","18:1;0_20:4;0"
"LPA_18:1;0 --> PA_18:1;0_20:4;0 --> PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0 --> PE_18:1;0_20:4;0","LPA_18:1;0","PE_18:1;0_20:4;0",2.16787433312482,4.27382030824687,"Active","yes","18:1;0_20:4;0"
"LPA_18:1;0 --> PA_18:1;0_20:4;0 --> PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PE_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","LPA_18:1;0","PS_18:1;0_20:4;0",2.16787433312482,4.27382030824687,"Active","yes","18:1;0_20:4;0"
"LPA_20:4;0 --> PA_18:1;0_20:4;0 --> PI_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","LPA_20:4;0","PS_18:1;0_20:4;0",2.86104239763814,4.25029923050461,"Active","yes","18:1;0_20:4;0"
"PA_18:1;0_20:4;0 --> DAG_18:1;0_20:4;0 --> PC_18:1;0_20:4;0 --> PS_18:1;0_20:4;0","PA_18:1;0_20:4;0","PS_18:1;0_20:4;0",3.9991399372058,4.24181654049447,"Active","yes","18:1;0_20:4;0"
