"feature","Ctrl1","Ctrl2","Ctrl3","Ctrl4","Ctrl5","Ctrl6","Ctrl7","DHA1","DHA2","DHA3","DHA4","DHA5","DHA6"
"PC_15:0;0_16:1;0",1.224194504,1.02180755,0.254473163,0.166681723,0.159957598,0.314915094,0.78013341,0,0.041513755,0.038072003,0.201884174,0.16374028,0.60385384
"PC_15:0;0_17:0;0",0.072276186,0.067934548,0,0.054781849,0.055525033,0.033233981,0.089123768,0.07747606,0.049477698,0.05479883,0.038423238,0.062378871,0.102026831
"PC_15:0;0_17:1;0",0.180028723,0,0.198690126,0.118990359,0.102553562,0.143809195,0.125233981,0.053569572,0.058197065,0.080223984,0.090696254,0,0
"PC_15:0;0_18:0;0",0.081374623,0,0,0,0.039685679,0,0.035926333,0.074239935,0.034948321,0.03289732,0.040858457,0.03084692,0.060043311
"PC_15:0;0_18:1;0",1.890489114,1.847608146,1.372192761,0.616867184,0.585766408,0.70664887,0.904733505,1.165860805,0.454633401,0.770827319,0.562954115,0.561607398,1.385643186
"PC_15:0;0_18:2;0",0,0,0.124505168,0,0.349196402,0,0,0,0.177691176,0.210270013,0,0,0
"PC_15:1;0_16:0;0",0,0,0.049462199,0,0,0.059822921,0,0,0.029758227,0.021612564,0,0,0
"PC_16:0;0_16:0;0",0.914127199,0.676752871,0,1.836873203,2.151989185,1.224896827,1.586318072,2.630373136,3.104379813,2.618121033,2.31960435,2.78408716,2.103915702
"PC_16:0;0_16:1;0",4.868116252,4.630897881,6.292896031,2.745489581,2.667001086,4.053269829,4.422358492,3.225204039,3.758451664,3.744951093,3.082435199,3.751840141,3.490840981
"PC_16:0;0_16:2;0",0,0,0.161258964,0,0.152366653,0.425676656,0.294094228,0.832285438,0.855095618,0.43049645,0.388498456,0,0
"PC_16:0;0_17:1;0",0.963633007,1.064901303,0.785715913,0.417791183,0.433184147,0.530442362,0.629428693,1.080936478,0.660302729,0.899899233,0.544656198,0.776026066,1.09031973
"PC_16:0;0_18:0;0",1.316791073,0,0,1.359971592,1.734380594,0.964093464,0,1.846150902,1.533220912,0,1.922348813,1.721358169,1.483464204
"PC_16:0;0_18:1;0",13.3675129,12.91912263,17.32129581,10.40934364,10.09203758,11.41122202,12.4178491,14.22019231,17.41135416,22.70225012,12.46510328,14.59162129,15.39112552
"PC_16:0;0_18:2;0",1.016079887,0.896708747,1.080106737,1.325427642,0.928549767,0.624294932,0.666970448,1.589868612,1.538673,2.405587442,1.32002466,0.875130842,1.32986802
"PC_16:0;0_18:3;0",0,0,0.145657379,0,0.051380125,0,0,0,0.032699851,0.114250228,0,0,0
"PC_16:0;0_19:1;0",0.144559791,0,0.098312223,0.070918723,0.055314479,0.06933784,0.078986595,0.148162791,0.100600957,0.110053051,0.091284077,0.082100191,0.107750834
"PC_16:0;0_19:2;0",0,0,0.04523404,0,0.030455048,0,0,0,0.040345053,0.033027065,0,0,0
"PC_16:0;0_20:1;0",0.317480022,0.25115719,0.135150525,0.277080097,0.262241654,0.376594997,0.356653639,0.246733358,0.179161094,0.14307755,0.308490454,0.291382882,0.241651469
"PC_16:0;0_20:2;0",0.480227245,0.512242014,0.656737649,0.177223293,0.167730332,0.616700003,0.540749502,0.221582713,0.303412668,0.195817,0.195127868,0.282378546,0.331856306
"PC_16:0;0_20:3;0",0.58635747,0.466575388,0.486768409,0.460752348,0.412474537,0.230832316,0.351696938,1.001627215,0.771021402,0.812730617,0.595433438,0.353620533,0.453614286
"PC_16:0;0_20:4;0",0.824363773,0.727026245,0.50183901,0.657515998,0.539011464,0.423693156,0.469875622,1.913233236,1.570793428,1.43877973,0.802510097,0.439071189,0.718979031
"PC_16:0;0_20:5;0",0,0,0.069099665,0,0,0,0,0.673627489,0.6307573,0.587969696,0,0,0
"PC_16:0;0_22:4;0",0,0,0.118265983,0,0.071479843,0,0,0.199436157,0.194374088,0.151078961,0.090445376,0,0
"PC_16:0;0_22:5;0",0,0,0.171937684,0,0.133387251,0,0,0.751235899,0.223539977,0.152133744,0.158845992,0,0.343801599
"PC_16:0;0_22:6;0",0,0,0.166561778,0,0,0,0,2.827289159,4.024411945,3.40091337,0.487621096,1.17651084,1.542822413
"PC_16:1;0_16:1;0",4.81268108,4.325717783,1.176478787,1.922419485,0.62358524,1.937106937,1.311024697,0.984877822,1.038074405,0.901131154,1.662548133,2.475547977,3.955259088
"PC_16:1;0_17:0;0",0.226940855,0.251185558,0.200259086,0.061514965,0.062266227,0.079250425,0.116400796,0.12678725,0.064281786,0.102270068,0.067733486,0.062044104,0
"PC_16:1;0_17:1;0",1.645449195,1.426846158,0.249732041,0.542459101,0.249032981,0.686282121,1.327318619,1.006864994,0.162223857,0.143113194,0.485645025,0.83131056,0.840926598
"PC_16:1;0_18:0;0",0.751545243,0.764377289,0.890453058,0.454435349,0.434426388,0.428888645,0.587571748,0.529574902,0.585348401,0.698295639,0.49355108,0.434711699,0.774639628
"PC_16:1;0_18:1;0",3.215509795,4.205128413,4.635742341,1.906069496,1.766519768,2.961531793,2.724048247,1.287207018,1.392702565,1.83092581,1.88068931,1.948802388,2.234853063
"PC_16:1;0_18:2;0",0,0,0.195305711,0.385389664,0.230569271,0.626096775,1.004751846,0,0.057434091,0.067168795,0.268417827,0,0
"PC_16:1;0_19:1;0",0,0,0.046641231,0,0.00860543,0,0.036674694,0,0,0.010925662,0,0,0
"PC_16:1;0_20:1;0",0,0,0.210439549,0.083757593,0.075357693,0.137012188,0.1418125,0,0.029385562,0.032606463,0,0,0
"PC_16:1;0_20:2;0",0,0.086984653,0.181059735,0.030892293,0.03195927,0.139270562,0.127140336,0,0.019882279,0.018132122,0,0,0
"PC_16:1;0_20:3;0",0,0,0.123957525,0.064021388,0,0,0,0.114325412,0.076740522,0.08890178,0.134524762,0,0
"PC_16:1;0_20:4;0",0,0,0.131318995,0.297500916,0.270137378,0,0,0,0.141581028,0.169311684,0.352885964,0,0
"PC_17:0;0_17:1;0",0.082025572,0,0.069061033,0.039708413,0.036908662,0,0.050483525,0,0.04427,0.071100494,0,0,0
"PC_17:0;0_18:1;0",0.937163353,0,0.70476781,0,0.469578178,0,0,0.723053571,0.441742312,0.87973602,0,0,0
"PC_17:0;0_18:2;0",0,0,0.068072422,0,0.096938292,0,0,0,0.07096417,0.124525169,0.139472598,0,0
"PC_17:0;0_20:3;0",0,0,0.058174231,0,0.110019408,0,0,0,0.053809565,0.072610952,0,0,0
"PC_17:0;0_20:4;0",0,0,0.04162069,0,0,0,0,0.314257744,0.098884662,0.158369769,0,0,0
"PC_17:1;0_17:1;0",0.050889393,0.037072913,0.048070372,0.020466257,0.036264546,0.025501675,0.065361835,0,0.008087807,0.020875071,0.019615276,0,0
"PC_17:1;0_18:0;0",0.109362707,0.10394427,0.081952936,0,0.05003487,0,0,0.110819516,0.066960541,0.128497359,0,0.039210615,0.09865097
"PC_17:1;0_18:1;0",1.685187404,2.137950322,0.924196242,0.739428247,0.575891529,0.92013429,0.957288113,0.909037734,0.35360486,0.524252086,0.651014973,0.794846486,1.315263063
"PC_17:1;0_18:2;0",0,0,0.041756778,0,0.159076962,0,0,0,0.023790257,0.039807163,0,0,0
"PC_18:0;0_18:1;0",2.230675364,2.068867849,1.20427579,1.787226779,2.120862438,1.297294482,1.887489518,2.180610375,1.831130627,3.047180308,2.113348998,1.773189973,2.46678899
"PC_18:0;0_18:2;0",0.262603384,0,0.417431688,0.571914887,0.424128627,0.145346672,0.264618562,0.556045114,0.585976266,0.842743095,0.534227858,0.304360556,0.522719134
"PC_18:0;0_18:3;0",0,0,0.095273075,0,0.013858931,0,0,0,0.010588257,0.131957983,0,0,0
"PC_18:0;0_20:2;0",0.106483694,0,0.098524695,0.061564981,0.060431261,0,0.15979865,0,0.077097372,0.050698606,0.032550919,0,0.118747652
"PC_18:0;0_20:3;0",0.294965976,0.152953902,0.260779295,0.231896356,0.276187259,0.119765043,0.260630742,0.465955154,0.223790725,0.215616643,0.340610328,0.19781569,0.401405795
"PC_18:0;0_20:4;0",0.311263296,0.209727292,0.320787418,0.283759868,0.280170219,0.085064783,0.177061476,0.677333318,0.610923939,0.448521011,0.371603493,0.095416105,0
"PC_18:0;0_22:4;0",0,0,0.048335963,0,0.082715811,0,0,0,0.076392812,0.0602638,0,0,0
"PC_18:0;0_22:5;0",0,0,0.108607263,0,0.088566366,0,0,0.316353396,0,0,0.10570008,0,0
"PC_18:0;0_22:6;0",0,0,0.099240473,0,0,0,0,1.133054581,0.740852083,0.468433318,0,0,0
"PC_18:1;0_18:1;0",7.34755523,8.784901751,11.03972562,5.73856011,5.344529915,6.988001075,6.775672343,3.680610024,4.386427405,4.341863606,5.94662794,6.114677268,4.808069194
"PC_18:1;0_18:2;0",0.833537761,0.974054012,0.82132262,1.264035641,0.97786118,0.678394444,0.669126137,0.537748565,0.551113899,0.643600291,1.191609325,0.606370533,0.820849557
"PC_18:1;0_18:3;0",0,0,0.089034987,0.040087901,0.063255123,0,0,0,0.043485567,0.061475703,0.0477483,0,0
"PC_18:1;0_19:1;0",0.316343392,0.306843954,0.179185236,0.207405238,0.173652305,0.222359975,0.241277874,0,0.059481008,0.030289305,0,0,0
"PC_18:1;0_19:2;0",0,0.359661832,0.082333981,0,0.069363608,0,0,0,0.035218104,0.026695114,0,0,0
"PC_18:1;0_20:1;0",0.654796095,0.81139202,0.476215043,0.416096527,0.296898643,0.627359329,0.495876408,0,0.177841784,0.180197139,0.31828149,0.446547918,0.423768782
"PC_18:1;0_20:2;0",0.596816491,0.724312765,0.672012404,0.244768983,0.223729815,0.779320597,0.590544057,0.108538573,0.084274894,0.074147075,0.184653943,0.246836796,0
"PC_18:1;0_20:3;0",0.549735719,0.574735912,0.49558558,0.544106744,0.455583445,0.368807854,0.294764262,0.669775228,0.506233519,0.339150333,0.608067397,0.333047762,0.61024385
"PC_18:1;0_20:4;0",0.785023554,0.690890099,0.477889779,0.819996599,0.488738493,0.430753708,0.451968426,0.627901604,0.215967456,0.144350761,0.75448866,0.343612128,0.253671779
"PC_18:1;0_22:5;0",0,0,0.179152311,0,0.157600288,0,0,0,0.35300362,0.248537916,0.332051734,0,0
"PC_18:1;0_22:6;0",0,0,0.159549526,0,0,0,0,0,1.609379269,1.403705832,0,0.907437658,0
"PC_18:2;0_18:2;0",0,0,0.028904385,0.071182684,0.061106259,0,0.027366494,0,0.035368155,0.047055483,0.031574514,0,0
"PC_18:2;0_20:1;0",0,0,0.047582651,0.072828523,0.026126785,0,0,0,0.014223353,0,0,0,0
"PC_18:2;0_20:3;0",0,0,0.025593062,0,0.029510894,0,0,0,0.010021947,0.007575705,0,0,0
"PE_14:0;0_18:0;0",0,0,0,0,0,0.011964259,0.019651332,0,0.008290075,0.003751995,0,0,0
"PE_14:0;0_18:1;0",0,0.076172178,0.043482678,0.034301671,0.028397597,0.044242589,0.053963692,0,0.020715272,0.0162393,0,0.032065136,0.04483277
"PE_16:0;0_16:0;0",0.053778593,0.075200999,0,0.042976104,0.047539118,0.025611067,0.020393124,0.053622118,0.010042531,0.008713982,0.047318317,0.056148973,0.07229808
"PE_16:0;0_16:1;0",0.247879808,0.249815251,0.179164603,0.127123132,0.099130504,0.247746993,0.226638068,0.104932992,0.073006319,0.046563023,0.10645215,0.14626358,0.104367607
"PE_16:0;0_17:0;0",0,0,0.074087062,0,0,0.380019422,0,0,0.099702873,0.10610738,0,0,0.522487266
"PE_16:0;0_18:1;0",1.043763745,1.177694476,0.834979687,0.761931207,0.667892548,1.04177821,0.96246567,0.584006107,0.4819455,0.518965338,0.661702688,0.822354841,1.114792716
"PE_16:0;0_18:2;0",0.105848934,0.159809138,0.063169311,0.158709853,0.060097362,0.092308597,0.098691606,0.093860558,0.059986478,0.065549123,0.073071697,0.084367663,0.205855141
"PE_16:0;0_20:1;0",0.032859876,0,0.022559402,0.016738984,0,0.022155556,0.036558676,0,0.011503429,0.009043904,0,0,0
"PE_16:0;0_20:2;0",0.086705655,0.112253561,0.070681795,0,0.021085451,0.131462355,0.163922574,0,0.016728333,0.009773156,0,0.086194738,0
"PE_16:0;0_20:3;0",0.134274132,0.110021477,0.0524344,0.137530301,0.114020264,0.118909536,0.160742785,0.116582701,0.066568722,0.043794751,0.13668367,0.138047012,0.10515514
"PE_16:0;0_20:4;0",0.265618658,0.361024738,0.118993833,0.314745763,0.293492929,0.10837263,0.134056694,0.346130133,0.233997892,0.224926339,0.319616905,0.087809022,0.324897538
"PE_16:0;0_22:4;0",0,0.176843622,0.092500177,0.115062285,0.102268084,0,0.276967506,0,0.156433994,0.095887474,0.137404807,0,0
