"name","sub_class_id","FA_sum","FA_split"
"TG(17:1(9Z)/18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","57:7","17:1_18:0_22:6"
"TG(17:1(9Z)/20:2(11Z,14Z)/22:0)[iso6]","[GL0301]","59:3","17:1_20:2_22:0"
"TG(18:1(9Z)/19:0/21:0)[iso6]","[GL0301]","58:1","18:1_19:0_21:0"
"TG(17:0/20:5(5Z,8Z,11Z,14Z,17Z)/21:0)[iso6]","[GL0301]","58:5","17:0_20:5_21:0"
"TG(19:0/20:1(11Z)/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","59:4","19:0_20:1_20:3"
"TG(18:0/18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","58:8","18:0_18:2_22:6"
"TG(17:2(9Z,12Z)/20:1(11Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","[GL0301]","59:7","17:2_20:1_22:4"
"TG(19:0/20:3(8Z,11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","[GL0301]","59:8","19:0_20:3_20:5"
"TG(17:0/20:2(11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","59:8","17:0_20:2_22:6"
"TG(17:0/20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))[iso6]","[GL0301]","59:6","17:0_20:4_22:2"
"TG(18:1(9Z)/21:0/21:0)[iso3]","[GL0301]","60:1","18:1_21:0_21:0"
"TG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","60:8","18:1_20:4_22:3"
"TG(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))[iso6]","[GL0301]","60:8","18:2_20:5_22:1"
"TG(20:1(11Z)/20:1(11Z)/21:0)[iso3]","[GL0301]","61:2","20:1_20:1_21:0"
"TG(17:2(9Z,12Z)/20:3(8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","59:11","17:2_20:3_22:6"
"TG(20:3(8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]","[GL0301]","60:11","20:3_20:4_20:4"
"TG(19:0/20:3(8Z,11Z,14Z)/22:2(13Z,16Z))[iso6]","[GL0301]","61:5","19:0_20:3_22:2"
"TG(18:1(9Z)/22:0/22:1(13Z))[iso6]","[GL0301]","62:2","18:1_22:0_22:1"
"TG(18:2(9Z,12Z)/21:0/22:4(7Z,10Z,13Z,16Z))[iso6]","[GL0301]","61:6","18:2_21:0_22:4"
"TG(20:3(8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/22:1(13Z))[iso6]","[GL0301]","62:8","20:3_20:4_22:1"
"TG(18:0/22:3(10Z,13Z,16Z)/22:2(13Z,16Z))[iso6]","[GL0301]","62:5","18:0_22:2_22:3"
"TG(20:0/21:0/22:4(7Z,10Z,13Z,16Z))[iso6]","[GL0301]","63:4","20:0_21:0_22:4"
"TG(20:5(5Z,8Z,11Z,14Z,17Z)/21:0/22:0)[iso6]","[GL0301]","63:5","20:5_21:0_22:0"
"TG(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","62:11","20:1_20:5_22:5"
"TG(20:2(11Z,14Z)/22:0/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","64:5","20:2_22:0_22:3"
"TG(20:3(8Z,11Z,14Z)/22:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","64:8","20:3_22:0_22:5"
"TG(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3]","[GL0301]","62:13","18:1_22:6_22:6"
"TG(20:2(11Z,14Z)/22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","64:9","20:2_22:2_22:5"
"TG(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","64:12","20:4_22:2_22:6"
"TG(22:0/22:3(10Z,13Z,16Z)/22:2(13Z,16Z))[iso6]","[GL0301]","66:5","22:0_22:2_22:3"
"PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP0201]","38:6","16:0_22:6"
"PE(12:0/14:0)","[GP0201]","26:0","12:0_14:0"
"PE(18:0/20:4(5E,8E,11E,14E))","[GP0201]","38:4","18:0_20:4"
"PA(16:0/18:2(9Z,12Z))","[GP1001]","34:2","16:0_18:2"
"SM(d18:1/25:0)","[SP0301]","43:1","18:1_25:0"
"PI(13:0/0:0)","[GP0605]","13:0","13:0"
"PI(16:0/0:0)","[GP0605]","16:0","16:0"
"Cer(d16:1/17:0)","[SP0201]","33:1","16:1_17:0"
"PC(17:2(9Z,12Z)/18:1(9Z))","[GP0101]","35:3","17:2_18:1"
"SM(d19:1/18:0)","[SP0301]","37:1","19:1_18:0"
"PC(20:3(8Z,11Z,14Z)/14:1(9Z))","[GP0101]","34:4","14:1_20:3"
"PE(15:0/14:0)","[GP0201]","29:0","14:0_15:0"
"PE(18:1(9Z)/20:2(11Z,14Z))","[GP0201]","38:3","18:1_20:2"
"PE(19:0/18:3(6Z,9Z,12Z))","[GP0201]","37:3","18:3_19:0"
"PC(13:0/16:1(9Z))","[GP0101]","29:1","13:0_16:1"
"PC(18:3(9Z,12Z,15Z)/20:1(11Z))","[GP0101]","38:4","18:3_20:1"
"PC(18:3(9Z,12Z,15Z)/20:2(11Z,14Z))","[GP0101]","38:5","18:3_20:2"
"PA(14:1(9Z)/17:0)","[GP1001]","31:1","14:1_17:0"
"PA(14:1(9Z)/20:4(5Z,8Z,11Z,14Z))","[GP1001]","34:5","14:1_20:4"
"PA(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP1001]","36:7","14:1_22:6"
"PA(15:1(9Z)/18:3(9Z,12Z,15Z))","[GP1001]","33:4","15:1_18:3"
"PA(16:1(9Z)/17:1(9Z))","[GP1001]","33:2","16:1_17:1"
"PA(13:0/14:1(9Z))","[GP1001]","27:1","13:0_14:1"
"PA(16:0/13:0)","[GP1001]","29:0","13:0_16:0"
"PA(18:3(6Z,9Z,12Z)/17:1(9Z))","[GP1001]","35:4","17:1_18:3"
"PA(18:2(9Z,12Z)/15:0)","[GP1001]","33:2","15:0_18:2"
"PA(17:2(9Z,12Z)/18:3(9Z,12Z,15Z))","[GP1001]","35:5","17:2_18:3"
"PA(18:0/18:3(9Z,12Z,15Z))","[GP1001]","36:3","18:0_18:3"
"PA(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))","[GP1001]","38:6","18:4_20:2"
"PA(19:1(9Z)/18:1(9Z))","[GP1001]","37:2","18:1_19:1"
"PA(20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","[GP1001]","42:10","20:4_22:6"
