"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","Ctrl5","Ctrl6","Ctrl7","DHA1","DHA2","DHA3","DHA4","DHA5","DHA6"
"DAG_18:1;0_18:1;0",-0.659162538887987,-0.659162538887987,-0.0254995636332669,0.920889049583456,0.0504777789708656,0.618484882805819,-0.659162538887987,-0.659162538887987,-0.659162538887987,-0.659162538887987,0.285098751160205,2.76468687332883,-0.659162538887987
"LPC_14:0;0",0.559372258522942,-0.572589350608847,-0.261859791017755,-0.572589350608847,-0.572589350608847,-0.572589350608847,-0.572589350608847,0.578320692291759,0.257171017519219,-0.109980837751691,-0.572589350608847,-0.572589350608847,2.98510211469745
"LPC_16:0;0",-1.00204781145641,-1.00204781145641,-0.647993930089819,0.686621028221377,1.47366369732492,-0.403715837494642,0.387956359093065,-1.00204781145641,-0.0189964771918986,0.209846471017488,2.12725528498823,0.193554649956937,-1.00204781145641
"LPC_16:1;0",0.40660007003555,0.669950081348302,-0.770636699810067,0.699878187208013,1.10172313326732,-1.08596182283372,-1.08596182283372,-0.272937090219721,-0.699931583020067,-0.713278970091444,1.89487004677477,-1.08596182283372,0.94164829300852
"LPC_18:0;0",-0.781482190572913,-0.781482190572913,-0.481659267607032,0.645955310803836,1.79479692418726,-0.781482190572913,-0.781482190572913,0.0557061698035613,-0.0892306351911966,-0.111938718821557,2.24278411328531,-0.149002943595611,-0.781482190572913
"LPC_18:1;0",-0.201134534323981,0.337627902620257,-1.21294535116511,0.514829722986407,0.791533466467249,-0.729232528885658,0.0946286413980836,-0.455255766742726,-1.07135638781581,-1.03382389921312,2.24626366293024,-0.419691402875016,1.13855647461918
"LPE_16:0;0",-0.484940580231405,0.249225453909022,-1.24950975177956,1.16200697453033,0.629762473745661,-0.426427226964713,0.691385225049441,-0.259802415349602,-0.790388436261848,-0.715127760469346,1.66097321175504,-1.58693758780331,1.11978041987029
"LPE_18:0;0",-0.721380995200372,0.0115318453432787,-1.35608531285817,1.79278573230289,0.222199303374916,-0.238664916026922,-0.341554841813306,-0.31777377827071,-0.705117123414713,-0.451126022447804,1.93593321284429,-0.820798739338894,0.990051635505514
"LPE_18:1;0",0.194406363050304,1.43613868606454,-1.26377172020266,0.248682350544315,-0.118798762025776,0.120591705320304,1.0579149866827,-0.353449064149202,-1.32469440631211,-1.29406438801958,0.240158105938533,-0.68035511607687,1.73724125918549
"LPE_20:3;0",0.296629696304189,0.999170645423999,-0.593893491415342,-0.593893491415342,0.552796069130925,-0.593893491415342,2.78806423506805,0.114487285395579,-0.593893491415342,-0.593893491415342,-0.593893491415342,-0.593893491415342,-0.593893491415342
"LPE_20:4;0",-0.0765406329099723,0.363931361820563,-1.59962699418088,0.643741891769836,0.15502469672554,0.53716647043731,1.69329260510173,0.390915215403242,-1.64954783097661,-1.36895901025413,0.9000679972673,-0.269155572614871,0.279689802410947
