"feature","sample_coverage"
"PE O-_18:1;0_18:2;0",13
"PE O-_18:1;0_18:3;0",5
"PE O-_18:1;0_19:1;0",4
"PE O-_18:1;0_20:1;0",11
"PE O-_18:1;0_20:2;0",13
"PE O-_18:1;0_20:3;0",12
"PE O-_18:1;0_20:4;0",12
"PE O-_18:1;0_20:5;0",9
"PE O-_18:1;0_22:1;0",6
"PE O-_18:1;0_22:2;0",6
"PE O-_18:1;0_22:3;0",6
"PE O-_18:1;0_22:4;0",12
"PE O-_18:1;0_22:5;0",11
"PE O-_18:1;0_22:6;0",7
"PE O-_18:1;0_24:6;0",5
"PE O-_18:2;0_14:0;0",7
"PE O-_18:2;0_16:0;0",13
"PE O-_18:2;0_16:1;0",13
"PE O-_18:2;0_17:0;0",5
"PE O-_18:2;0_17:1;0",4
"PE O-_18:2;0_18:0;0",9
"PE O-_18:2;0_18:1;0",13
"PE O-_18:2;0_18:2;0",11
"PE O-_18:2;0_20:1;0",9
"PE O-_18:2;0_20:2;0",9
"PE O-_18:2;0_20:3;0",12
"PE O-_18:2;0_20:4;0",13
"PE O-_18:2;0_22:4;0",9
"PE O-_18:2;0_22:5;0",7
"PE_14:0;0_18:0;0",4
"PE_14:0;0_18:1;0",10
"PE_16:0;0_16:0;0",12
"PE_16:0;0_16:1;0",13
"PE_16:0;0_17:0;0",5
"PE_16:0;0_18:1;0",13
"PE_16:0;0_18:2;0",13
"PE_16:0;0_20:1;0",7
"PE_16:0;0_20:2;0",9
"PE_16:0;0_20:3;0",13
"PE_16:0;0_20:4;0",13
"PE_16:0;0_22:4;0",8
"PE_16:0;0_22:5;0",4
"PE_16:1;0_16:1;0",5
"PE_16:1;0_17:1;0",4
"PE_16:1;0_18:0;0",13
"PE_16:1;0_18:1;0",13
"PE_16:1;0_20:1;0",4
"PE_16:1;0_20:3;0",9
"PE_16:1;0_20:4;0",6
"PE_16:1;0_22:4;0",4
"PE_16:1;0_22:5;0",4
"PE_17:0;0_18:1;0",13
"PE_17:0;0_20:2;0",4
"PE_17:0;0_20:3;0",6
"PE_17:0;0_20:4;0",9
"PE_17:0;0_22:4;0",4
"PE_17:1;0_17:1;0",8
"PE_17:1;0_18:0;0",6
"PE_17:1;0_18:1;0",11
"PE_18:0;0_18:1;0",13
"PE_18:0;0_18:2;0",13
"PE_18:0;0_20:2;0",13
"PE_18:0;0_20:3;0",12
"PE_18:0;0_20:4;0",13
"PE_18:0;0_20:5;0",6
"PE_18:0;0_22:4;0",11
"PE_18:0;0_22:5;0",10
"PE_18:0;0_22:6;0",7
"PE_18:1;0_18:1;0",13
