"","Ctrl1","Ctrl2","Ctrl3","Ctrl4","Ctrl5","Ctrl6","Ctrl7","DHA1","DHA2","DHA3","DHA4","DHA5","DHA6"
"w6-18:3;0",0.0167882348636318,-0.0154673987653906,-0.142831436763895,1.50514832183406,1.80046320622593,0.0584966760667698,-0.0726153621674111,-0.0712403514470406,-1.06016090260962,-1.10583084523586,1.29009179470419,-0.999507542833026,-1.20333439387235
"w6-20:3;0",0.0852478493709997,0.0533683832776657,-0.374195163239543,1.50584011619153,1.72219799976703,0.117276363643796,-0.0109796704747688,-0.00175414119012178,-1.05713139999809,-1.30081621774569,1.30078731464605,-0.91919581335487,-1.120645620894
"w6-20:4;0",0.140155109251903,-0.293848609090067,-0.360075107821174,1.1039784912927,1.19460737982816,-1.12832335072341,-0.938710738536321,1.18896872740951,0.0430890941259858,0.347071512673458,1.35561349441729,-1.51680399125683,-1.1357220115712
"w6-22:4;0",-0.10894006176818,-0.336806800562489,-0.218922528491119,1.52067414542912,1.11057586623136,-0.575216415892921,-0.132585503333801,0.998161838224628,-0.436320432387432,-0.999814707740252,1.28837117341854,-0.0897205487660474,-2.0194560243614
"w6-22:5;0",-0.380324900001385,-1.14034322621006,0.713055138746229,-0.706495836497375,1.381316834241,-1.16169707365149,-0.691039164383432,1.11698040549416,1.31467482853906,0.43102316837343,0.814032624110897,-1.37369178734629,-0.317491011414748
"w6-24:4;0",-0.387414479084692,-1.13732673157126,0.729932860660536,-0.709248273413756,1.38904698802061,-1.15839663381157,-0.69399713090679,1.0899809409778,1.33384109896687,0.445508384973532,0.791061500105585,-1.36757242310492,-0.325416101811934
"w6-24:5;0",-0.380324900001385,-1.14034322621006,0.713055138746229,-0.706495836497375,1.381316834241,-1.16169707365149,-0.691039164383432,1.11698040549416,1.31467482853906,0.43102316837343,0.814032624110897,-1.37369178734629,-0.317491011414748
"w7-16:1;0",1.04781745519225,1.49754480827886,1.26267415485366,-0.235331024729994,-0.364696340939678,0.792942788662923,0.554221862794977,-1.63616558463483,-1.42806947519362,-0.971783143169702,-0.522339753630249,0.0614304218623879,-0.0582461693469832
"w7-18:1;0",0.584311616439791,1.30344906972279,1.47075672515746,-0.0437116919039562,0.00138312453862248,0.968452146238445,0.525079224191758,-1.79795152976243,-1.44817945600552,-0.878528622408711,-0.367800540943935,0.224570008909386,-0.541830074173699
"w9-18:1;0",0.532122047153953,1.04166781553448,1.10509020858606,0.188962170541999,0.16633751286807,1.42801296852013,0.921902150236795,-1.55051110597177,-1.42006260248277,-1.13499344564078,-0.284029127149499,-0.202298825193296,-0.792199767003375
"w9-18:2;0",0.390362430094587,0.552733008775018,0.400797122723895,0.44763627060329,0.410320250355234,1.84367835359366,1.32780066353695,-0.795961351620784,-1.18013990512139,-1.36554144468946,-0.0761493817367287,-0.833420756798078,-1.1221152597162
"w9-20:1;0",0.367104256059623,0.480171840303287,0.420959086683802,0.520410169470736,0.355616814895396,1.8798384202802,1.36014600335569,-1.06091883004257,-1.15125716378889,-1.30404327697312,-0.148552334522669,-0.748950270483563,-0.970524715237911
"w9-20:2;0",0.390362430094587,0.552733008775018,0.400797122723895,0.44763627060329,0.410320250355234,1.84367835359366,1.32780066353695,-0.795961351620784,-1.18013990512139,-1.36554144468946,-0.0761493817367287,-0.833420756798078,-1.1221152597162
"w9-20:3;0",0.0852478493709997,0.0533683832776657,-0.374195163239543,1.50584011619153,1.72219799976703,0.117276363643796,-0.0109796704747688,-0.00175414119012178,-1.05713139999809,-1.30081621774569,1.30078731464605,-0.91919581335487,-1.120645620894
"w9-22:1;0",-0.291444271127196,-1.00441628547937,-0.0390020798191115,0.819635639253637,0.743045503386335,2.16790577105619,0.587922041507944,-1.00441628547937,-0.650411981083633,-0.350824919293059,1.03083943803637,-1.00441628547937,-1.00441628547937
"w9-24:1;0",-0.821163520752965,-0.821163520752965,0.139931732702579,-0.821163520752965,0.979366241372521,2.16366124210477,0.333596605337165,-0.821163520752965,0.0278837969731925,-0.183184576096318,1.46572608212387,-0.821163520752965,-0.821163520752965
