feature,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,Ctrl7,DHA1,DHA2,DHA3,DHA4,DHA5,DHA6
DAG_16:0;0_18:3;0,,,,,,,,,,,,,
DAG_16:0;0_19:0;0,,,,,,,,,,,,,
DAG_16:0;0_19:1;0,,,,,,,,,,,,,
DAG_16:0;0_19:2;0,,,,,,,,,,,,,
DAG_16:0;0_20:1;0,,,0.36417,0.503385007,1.298820019,0.367345005,,,,,0.372588009,,
DAG_16:0;0_20:2;0,,,0.388666,0.137851998,0.273562014,0.336392999,,,,,0.119640999,,
DAG_16:0;0_20:3;0,,,,2.738300085,,,,,,,,,
DAG_16:0;0_20:4;0,,,,,,,,,,,,,
DAG_16:0;0_20:5;0,,,,,,,,,,,,,
DAG_16:0;0_22:1;0,,,,,,,,,,,,,
DAG_16:0;0_22:4;0,,,,,,,,,,,,,
DAG_16:0;0_22:5;0,,,,,,,,,,,,,
DAG_16:0;0_22:6;0,,,,,,,,,,4.00287,,,
DAG_16:0;0_24:1;0,,,,,,,,,,,,,
DAG_16:0;0_24:4;0,,,,,,,,,,,,,
DAG_16:1;0_16:1;0,,,,,,,,,,,,,
DAG_16:1;0_16:2;0,,,,,,,,,,,,,
DAG_16:1;0_17:0;0,,,0.412972,,,,,,1.79014,,,,
DAG_16:1;0_17:1;0,,,,,,,,,,,,,
DAG_16:1;0_18:0;0,,,0.687352,0.498378009,1.058279991,0.43473199,0.137700006,,0.259631,0.353413,0.423774004,0.519894004,
DAG_16:1;0_18:1;0,,,,1.186169982,2.47597003,,,,,,,1.451570034,
DAG_16:1;0_18:2;0,,,,,,,,,,,,,
DAG_16:1;0_18:3;0,,,,,,,,,,,,,
DAG_16:1;0_19:0;0,,,,,,,,,,,,,
DAG_16:1;0_19:1;0,,,,,,,,,,,,,
DAG_16:1;0_20:1;0,,,,,,,,,,,,,
DAG_16:1;0_20:2;0,,,,,,,,,,,,,
DAG_16:1;0_20:3;0,,,,,,,,,,,,,
DAG_16:1;0_20:4;0,,,,,,,,,,,,,
DAG_16:1;0_20:5;0,,,,,,,,,,,,,
DAG_16:1;0_22:4;0,,,,,,,,,,,,,
DAG_16:1;0_22:5;0,,,,,,,,,,,,,
DAG_16:1;0_22:6;0,,,,,,,,,,,,,
DAG_16:2;0_18:1;0,,,,,,,,,,,,,
DAG_16:2;0_18:2;0,,,,,,,,,,,,,
DAG_17:0;0_17:1;0,,,,,,,,,,,,,
DAG_17:0;0_18:0;0,,,,,,,,,,,,,
DAG_17:0;0_18:1;0,,,2.17926,,,,,,3.15039,,,,
DAG_17:0;0_18:2;0,,,,,,,,,,,,,
DAG_17:0;0_20:1;0,,,,,,,,,,,,,
DAG_17:0;0_20:2;0,,,,,,,,,,,,,
DAG_17:0;0_20:3;0,,,,,,,,,,,,,
DAG_17:0;0_20:4;0,,,,,,,,,,,,,
DAG_17:1;0_17:1;0,,,,,,,,,,,,,
DAG_17:1;0_18:0;0,,,,,,,,,,,,,
DAG_17:1;0_18:1;0,,,6.13911,,,,,,8.49675,6.28357,,,
DAG_17:1;0_19:2;0,,,,,,,,,,,,,
DAG_17:1;0_20:1;0,,,,,,,,,,,,,
DAG_17:2;0_19:1;0,,,,,,,,,,,,,
DAG_18:0;0_18:0;0,,,,,,,,,,,,,
DAG_18:0;0_18:1;0,,,3.38159,3.060470104,7.650350094,1.858209968,3.110290051,,3.14745,4.19393,2.892199993,4.732269764,
DAG_18:0;0_18:2;0,,,0.376969,0.690136015,0.653160989,,,,0.608071,,0.225246996,1.016090035,
DAG_18:0;0_18:3;0,,,,,,,,,,,,,
DAG_18:0;0_19:1;0,,,,,,,,,,,,,
