"group","value","Data","feature"
"CVD",0.46476,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.18292,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.83716,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.46928,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.72596,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.3102,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.09392,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.01684,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.44884,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.28212,"Substructure","PC_18:2;0_20:2;0"
"CVD",4.0908,"Substructure","PC_18:2;0_20:2;0"
"CVD",3.56396,"Substructure","PC_18:2;0_20:2;0"
"CVD",5.3886,"Substructure","PC_18:2;0_20:2;0"
"CVD",4.33604,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.1476,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.70004,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.66452,"Substructure","PC_18:2;0_20:2;0"
"CVD",1.60604,"Substructure","PC_18:2;0_20:2;0"
"CVD",4.6018,"Substructure","PC_18:2;0_20:2;0"
"CVD",0.57692,"Substructure","PC_18:2;0_20:2;0"
"CVD",2.39724,"Substructure","PC_18:2;0_20:2;0"
