"feature","class","structuralcategory","functionalcategory","totallength","totaldb","totaloh","FA_sum","FA_split","FA_num"
"PC_14:0;0_18:0;0","PC","GPL","MEM",32,0,0,"32:0;0","14:0;0_18:0;0",2
"PC_14:0;0_18:1;0","PC","GPL","MEM",32,1,0,"32:1;0","14:0;0_18:1;0",2
"PC_14:0;0_18:2;0","PC","GPL","MEM",32,2,0,"32:2;0","14:0;0_18:2;0",2
"PC_15:0;0_18:1;0","PC","GPL","MEM",33,1,0,"33:1;0","15:0;0_18:1;0",2
"PC_15:0;0_18:2;0","PC","GPL","MEM",33,2,0,"33:2;0","15:0;0_18:2;0",2
"PC_15:0;0_20:4;0","PC","GPL","MEM",35,4,0,"35:4;0","15:0;0_20:4;0",2
"PC_16:0;0_16:0;0","PC","GPL","MEM",32,0,0,"32:0;0","16:0;0_16:0;0",2
"PC_16:0;0_16:1;0","PC","GPL","MEM",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PC_16:0;0_17:1;0","PC","GPL","MEM",33,1,0,"33:1;0","16:0;0_17:1;0",2
"PC_16:0;0_18:0;0","PC","GPL","MEM",34,0,0,"34:0;0","16:0;0_18:0;0",2
"PC_16:0;0_18:1;0","PC","GPL","MEM",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PC_16:0;0_18:2;0","PC","GPL","MEM",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PC_16:0;0_18:3;0","PC","GPL","MEM",34,3,0,"34:3;0","16:0;0_18:3;0",2
"PC_16:0;0_19:1;0","PC","GPL","MEM",35,1,0,"35:1;0","16:0;0_19:1;0",2
"PC_16:0;0_20:1;0","PC","GPL","MEM",36,1,0,"36:1;0","16:0;0_20:1;0",2
"PC_16:0;0_20:2;0","PC","GPL","MEM",36,2,0,"36:2;0","16:0;0_20:2;0",2
"PC_16:0;0_20:3;0","PC","GPL","MEM",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PC_16:0;0_20:4;0","PC","GPL","MEM",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PC_16:0;0_20:5;0","PC","GPL","MEM",36,5,0,"36:5;0","16:0;0_20:5;0",2
"PC_16:0;0_22:4;0","PC","GPL","MEM",38,4,0,"38:4;0","16:0;0_22:4;0",2
"PC_16:0;0_22:5;0","PC","GPL","MEM",38,5,0,"38:5;0","16:0;0_22:5;0",2
"PC_16:0;0_22:6;0","PC","GPL","MEM",38,6,0,"38:6;0","16:0;0_22:6;0",2
"PC_16:1;0_16:1;0","PC","GPL","MEM",32,2,0,"32:2;0","16:1;0_16:1;0",2
"PC_16:1;0_17:0;0","PC","GPL","MEM",33,1,0,"33:1;0","16:1;0_17:0;0",2
"PC_16:1;0_18:0;0","PC","GPL","MEM",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PC_16:1;0_18:1;0","PC","GPL","MEM",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PC_16:1;0_18:2;0","PC","GPL","MEM",34,3,0,"34:3;0","16:1;0_18:2;0",2
"PC_16:1;0_20:3;0","PC","GPL","MEM",36,4,0,"36:4;0","16:1;0_20:3;0",2
"PC_16:1;0_20:4;0","PC","GPL","MEM",36,5,0,"36:5;0","16:1;0_20:4;0",2
"PC_17:0;0_18:2;0","PC","GPL","MEM",35,2,0,"35:2;0","17:0;0_18:2;0",2
"PC_17:0;0_20:3;0","PC","GPL","MEM",37,3,0,"37:3;0","17:0;0_20:3;0",2
"PC_17:0;0_20:4;0","PC","GPL","MEM",37,4,0,"37:4;0","17:0;0_20:4;0",2
"PC_17:0;0_22:6;0","PC","GPL","MEM",39,6,0,"39:6;0","17:0;0_22:6;0",2
"PC_17:1;0_18:1;0","PC","GPL","MEM",35,2,0,"35:2;0","17:1;0_18:1;0",2
"PC_17:1;0_18:2;0","PC","GPL","MEM",35,3,0,"35:3;0","17:1;0_18:2;0",2
"PC_17:1;0_22:5;0","PC","GPL","MEM",39,6,0,"39:6;0","17:1;0_22:5;0",2
"PC_18:0;0_18:1;0","PC","GPL","MEM",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PC_18:0;0_18:2;0","PC","GPL","MEM",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PC_18:0;0_18:3;0","PC","GPL","MEM",36,3,0,"36:3;0","18:0;0_18:3;0",2
"PC_18:0;0_20:2;0","PC","GPL","MEM",38,2,0,"38:2;0","18:0;0_20:2;0",2
"PC_18:0;0_20:3;0","PC","GPL","MEM",38,3,0,"38:3;0","18:0;0_20:3;0",2
"PC_18:0;0_20:4;0","PC","GPL","MEM",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PC_18:0;0_20:5;0","PC","GPL","MEM",38,5,0,"38:5;0","18:0;0_20:5;0",2
"PC_18:0;0_22:5;0","PC","GPL","MEM",40,5,0,"40:5;0","18:0;0_22:5;0",2
"PC_18:0;0_22:6;0","PC","GPL","MEM",40,6,0,"40:6;0","18:0;0_22:6;0",2
"PC_18:1;0_18:1;0","PC","GPL","MEM",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PC_18:1;0_18:2;0","PC","GPL","MEM",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PC_18:1;0_18:3;0","PC","GPL","MEM",36,4,0,"36:4;0","18:1;0_18:3;0",2
"PC_18:1;0_20:1;0","PC","GPL","MEM",38,2,0,"38:2;0","18:1;0_20:1;0",2
"PC_18:1;0_20:2;0","PC","GPL","MEM",38,3,0,"38:3;0","18:1;0_20:2;0",2
"PC_18:1;0_20:3;0","PC","GPL","MEM",38,4,0,"38:4;0","18:1;0_20:3;0",2
"PC_18:1;0_20:4;0","PC","GPL","MEM",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PC_18:1;0_20:5;0","PC","GPL","MEM",38,6,0,"38:6;0","18:1;0_20:5;0",2
"PC_18:1;0_22:6;0","PC","GPL","MEM",40,7,0,"40:7;0","18:1;0_22:6;0",2
"PC_18:2;0_18:2;0","PC","GPL","MEM",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PC_18:2;0_20:1;0","PC","GPL","MEM",38,3,0,"38:3;0","18:2;0_20:1;0",2
"PC_18:2;0_20:2;0","PC","GPL","MEM",38,4,0,"38:4;0","18:2;0_20:2;0",2
"PC_18:2;0_20:3;0","PC","GPL","MEM",38,5,0,"38:5;0","18:2;0_20:3;0",2
"PC_18:2;0_20:4;0","PC","GPL","MEM",38,6,0,"38:6;0","18:2;0_20:4;0",2
"PC_20:1;0_20:4;0","PC","GPL","MEM",40,5,0,"40:5;0","20:1;0_20:4;0",2
"PC O-_16:0;0_16:0;0","PC O-","GPL","MEM",32,0,0,"32:0;0","16:0;0_16:0;0",2
"PC O-_16:0;0_16:1;0","PC O-","GPL","MEM",32,1,0,"32:1;0","16:0;0_16:1;0",2
"PC O-_16:0;0_18:1;0","PC O-","GPL","MEM",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PC O-_16:0;0_18:2;0","PC O-","GPL","MEM",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PC O-_16:0;0_20:3;0","PC O-","GPL","MEM",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PC O-_16:0;0_20:4;0","PC O-","GPL","MEM",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PC O-_16:0;0_20:5;0","PC O-","GPL","MEM",36,5,0,"36:5;0","16:0;0_20:5;0",2
"PC O-_16:0;0_22:4;0","PC O-","GPL","MEM",38,4,0,"38:4;0","16:0;0_22:4;0",2
"PC O-_16:0;0_22:5;0","PC O-","GPL","MEM",38,5,0,"38:5;0","16:0;0_22:5;0",2
"PC O-_16:0;0_22:6;0","PC O-","GPL","MEM",38,6,0,"38:6;0","16:0;0_22:6;0",2
"PC O-_16:1;0_16:0;0","PC O-","GPL","MEM",32,1,0,"32:1;0","16:1;0_16:0;0",2
"PC O-_16:1;0_18:0;0","PC O-","GPL","MEM",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PC O-_16:1;0_18:1;0","PC O-","GPL","MEM",34,2,0,"34:2;0","16:1;0_18:1;0",2
"PC O-_16:1;0_18:2;0","PC O-","GPL","MEM",34,3,0,"34:3;0","16:1;0_18:2;0",2
"PC O-_16:1;0_20:3;0","PC O-","GPL","MEM",36,4,0,"36:4;0","16:1;0_20:3;0",2
"PC O-_16:1;0_20:4;0","PC O-","GPL","MEM",36,5,0,"36:5;0","16:1;0_20:4;0",2
"PC O-_16:1;0_22:4;0","PC O-","GPL","MEM",38,5,0,"38:5;0","16:1;0_22:4;0",2
"PC O-_16:2;0_18:0;0","PC O-","GPL","MEM",34,2,0,"34:2;0","16:2;0_18:0;0",2
"PC O-_16:2;0_18:1;0","PC O-","GPL","MEM",34,3,0,"34:3;0","16:2;0_18:1;0",2
"PC O-_17:0;0_15:0;0","PC O-","GPL","MEM",32,0,0,"32:0;0","17:0;0_15:0;0",2
"PC O-_17:0;0_17:1;0","PC O-","GPL","MEM",34,1,0,"34:1;0","17:0;0_17:1;0",2
"PC O-_17:1;0_17:0;0","PC O-","GPL","MEM",34,1,0,"34:1;0","17:1;0_17:0;0",2
"PC O-_17:2;0_17:0;0","PC O-","GPL","MEM",34,2,0,"34:2;0","17:2;0_17:0;0",2
"PC O-_18:0;0_14:0;0","PC O-","GPL","MEM",32,0,0,"32:0;0","18:0;0_14:0;0",2
"PC O-_18:0;0_16:1;0","PC O-","GPL","MEM",34,1,0,"34:1;0","18:0;0_16:1;0",2
"PC O-_18:0;0_20:4;0","PC O-","GPL","MEM",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PC O-_18:0;0_20:5;0","PC O-","GPL","MEM",38,5,0,"38:5;0","18:0;0_20:5;0",2
"PC O-_18:1;0_16:0;0","PC O-","GPL","MEM",34,1,0,"34:1;0","18:1;0_16:0;0",2
"PC O-_18:1;0_16:1;0","PC O-","GPL","MEM",34,2,0,"34:2;0","18:1;0_16:1;0",2
"PC O-_18:1;0_18:2;0","PC O-","GPL","MEM",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PC O-_18:1;0_20:3;0","PC O-","GPL","MEM",38,4,0,"38:4;0","18:1;0_20:3;0",2
"PC O-_18:1;0_20:4;0","PC O-","GPL","MEM",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PC O-_18:2;0_16:0;0","PC O-","GPL","MEM",34,2,0,"34:2;0","18:2;0_16:0;0",2
"PC O-_18:2;0_18:1;0","PC O-","GPL","MEM",36,3,0,"36:3;0","18:2;0_18:1;0",2
"PC O-_18:2;0_18:2;0","PC O-","GPL","MEM",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PC O-_18:2;0_20:4;0","PC O-","GPL","MEM",38,6,0,"38:6;0","18:2;0_20:4;0",2
"PE_16:0;0_18:1;0","PE","GPL","MEM",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PE_16:0;0_18:2;0","PE","GPL","MEM",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PE_16:0;0_20:4;0","PE","GPL","MEM",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PE_17:1;0_17:1;0","PE","GPL","MEM",34,2,0,"34:2;0","17:1;0_17:1;0",2
"PE_18:0;0_18:1;0","PE","GPL","MEM",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PE_18:0;0_18:2;0","PE","GPL","MEM",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PE_18:0;0_20:4;0","PE","GPL","MEM",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PE_18:1;0_18:1;0","PE","GPL","MEM",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PE_18:1;0_18:2;0","PE","GPL","MEM",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PE_18:1;0_20:4;0","PE","GPL","MEM",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PE_18:2;0_18:2;0","PE","GPL","MEM",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PE O-_16:0;0_20:4;0","PE O-","GPL","MEM",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PE O-_16:1;0_20:3;0","PE O-","GPL","MEM",36,4,0,"36:4;0","16:1;0_20:3;0",2
"PE O-_16:1;0_20:4;0","PE O-","GPL","MEM",36,5,0,"36:5;0","16:1;0_20:4;0",2
"PE O-_16:1;0_22:4;0","PE O-","GPL","MEM",38,5,0,"38:5;0","16:1;0_22:4;0",2
"PE O-_16:1;0_22:5;0","PE O-","GPL","MEM",38,6,0,"38:6;0","16:1;0_22:5;0",2
"PE O-_18:1;0_18:2;0","PE O-","GPL","MEM",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PE O-_18:1;0_20:4;0","PE O-","GPL","MEM",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PE O-_18:2;0_18:1;0","PE O-","GPL","MEM",36,3,0,"36:3;0","18:2;0_18:1;0",2
"PE O-_18:2;0_18:2;0","PE O-","GPL","MEM",36,4,0,"36:4;0","18:2;0_18:2;0",2
"PE O-_18:2;0_20:4;0","PE O-","GPL","MEM",38,6,0,"38:6;0","18:2;0_20:4;0",2
"PI_16:0;0_18:1;0","PI","GPL","MEM",34,1,0,"34:1;0","16:0;0_18:1;0",2
"PI_16:0;0_18:2;0","PI","GPL","MEM",34,2,0,"34:2;0","16:0;0_18:2;0",2
"PI_16:0;0_20:3;0","PI","GPL","MEM",36,3,0,"36:3;0","16:0;0_20:3;0",2
"PI_16:0;0_20:4;0","PI","GPL","MEM",36,4,0,"36:4;0","16:0;0_20:4;0",2
"PI_16:1;0_18:0;0","PI","GPL","MEM",34,1,0,"34:1;0","16:1;0_18:0;0",2
"PI_18:0;0_18:1;0","PI","GPL","MEM",36,1,0,"36:1;0","18:0;0_18:1;0",2
"PI_18:0;0_18:2;0","PI","GPL","MEM",36,2,0,"36:2;0","18:0;0_18:2;0",2
"PI_18:0;0_20:3;0","PI","GPL","MEM",38,3,0,"38:3;0","18:0;0_20:3;0",2
"PI_18:0;0_20:4;0","PI","GPL","MEM",38,4,0,"38:4;0","18:0;0_20:4;0",2
"PI_18:1;0_18:1;0","PI","GPL","MEM",36,2,0,"36:2;0","18:1;0_18:1;0",2
"PI_18:1;0_18:2;0","PI","GPL","MEM",36,3,0,"36:3;0","18:1;0_18:2;0",2
"PI_18:1;0_20:3;0","PI","GPL","MEM",38,4,0,"38:4;0","18:1;0_20:3;0",2
"PI_18:1;0_20:4;0","PI","GPL","MEM",38,5,0,"38:5;0","18:1;0_20:4;0",2
"PI_18:2;0_18:2;0","PI","GPL","MEM",36,4,0,"36:4;0","18:2;0_18:2;0",2
"TAG_46:0;0","TAG","GL","STO",46,0,0,"46:0;0","",3
"TAG_46:1;0","TAG","GL","STO",46,1,0,"46:1;0","",3
"TAG_46:2;0","TAG","GL","STO",46,2,0,"46:2;0","",3
"TAG_48:0;0","TAG","GL","STO",48,0,0,"48:0;0","",3
"TAG_48:1;0","TAG","GL","STO",48,1,0,"48:1;0","",3
"TAG_48:2;0","TAG","GL","STO",48,2,0,"48:2;0","",3
"TAG_48:3;0","TAG","GL","STO",48,3,0,"48:3;0","",3
"TAG_49:1;0","TAG","GL","STO",49,1,0,"49:1;0","",3
"TAG_49:2;0","TAG","GL","STO",49,2,0,"49:2;0","",3
"TAG_50:1;0","TAG","GL","STO",50,1,0,"50:1;0","",3
"TAG_50:2;0","TAG","GL","STO",50,2,0,"50:2;0","",3
"TAG_50:3;0","TAG","GL","STO",50,3,0,"50:3;0","",3
"TAG_50:4;0","TAG","GL","STO",50,4,0,"50:4;0","",3
"TAG_50:5;0","TAG","GL","STO",50,5,0,"50:5;0","",3
"TAG_51:1;0","TAG","GL","STO",51,1,0,"51:1;0","",3
"TAG_51:2;0","TAG","GL","STO",51,2,0,"51:2;0","",3
"TAG_51:3;0","TAG","GL","STO",51,3,0,"51:3;0","",3
"TAG_51:4;0","TAG","GL","STO",51,4,0,"51:4;0","",3
"TAG_52:2;0","TAG","GL","STO",52,2,0,"52:2;0","",3
"TAG_52:3;0","TAG","GL","STO",52,3,0,"52:3;0","",3
"TAG_52:4;0","TAG","GL","STO",52,4,0,"52:4;0","",3
"TAG_52:5;0","TAG","GL","STO",52,5,0,"52:5;0","",3
"TAG_52:6;0","TAG","GL","STO",52,6,0,"52:6;0","",3
"TAG_53:2;0","TAG","GL","STO",53,2,0,"53:2;0","",3
"TAG_53:3;0","TAG","GL","STO",53,3,0,"53:3;0","",3
"TAG_53:4;0","TAG","GL","STO",53,4,0,"53:4;0","",3
"TAG_54:3;0","TAG","GL","STO",54,3,0,"54:3;0","",3
"TAG_54:4;0","TAG","GL","STO",54,4,0,"54:4;0","",3
"TAG_54:5;0","TAG","GL","STO",54,5,0,"54:5;0","",3
"TAG_54:6;0","TAG","GL","STO",54,6,0,"54:6;0","",3
"TAG_54:7;0","TAG","GL","STO",54,7,0,"54:7;0","",3
"TAG_56:3;0","TAG","GL","STO",56,3,0,"56:3;0","",3
"TAG_56:4;0","TAG","GL","STO",56,4,0,"56:4;0","",3
"TAG_56:5;0","TAG","GL","STO",56,5,0,"56:5;0","",3
"TAG_56:6;0","TAG","GL","STO",56,6,0,"56:6;0","",3
"TAG_56:7;0","TAG","GL","STO",56,7,0,"56:7;0","",3
"TAG_56:8;0","TAG","GL","STO",56,8,0,"56:8;0","",3
"TAG_56:9;0","TAG","GL","STO",56,9,0,"56:9;0","",3
"TAG_58:10;0","TAG","GL","STO",58,10,0,"58:10;0","",3
"TAG_58:6;0","TAG","GL","STO",58,6,0,"58:6;0","",3
"TAG_58:7;0","TAG","GL","STO",58,7,0,"58:7;0","",3
"TAG_58:8;0","TAG","GL","STO",58,8,0,"58:8;0","",3
"TAG_58:9;0","TAG","GL","STO",58,9,0,"58:9;0","",3
