"lipid","type","mean_all","mean_ctrl","mean_exp","sd_ctrl","sd_exp","FC","log2FC","statistics","p_value","mlog10p","adj_p_value","mlog10padj","sig","Significance"
"PE_40:7;0","species",0.376727948900372,0.455913450928409,0.297542446872335,0.0232228645314693,0.00816543308863721,0.652629235365678,-0.615664478630792,-14.3857681073234,0.000000532642210127282,6.27356442013707,0.00000710189613503043,5.14862568352877,"yes","Decrease"
"PE_40:6;0","species",0.69691541737623,0.829059224453831,0.564771610298628,0.0733845441497948,0.0376135565077169,0.681219861790561,-0.553807595735539,-7.16646675338058,0.0000955354683612189,4.01983536293117,0.000636903122408126,3.19592662198685,"yes","Decrease"
"PE_40:5;0","species",0.43260177121604,0.494046071044886,0.371157471387194,0.0435101577888988,0.0306319437251378,0.751260850232474,-0.412614172506412,-5.16407051473224,0.000859358866048626,3.06582543803359,0.00298907431669087,2.52446328705924,"yes","Decrease"
"PE_40:4;0","species",0.213781112482397,0.23913255795467,0.188429667010124,0.0316824226128284,0.0184463592929096,0.787971611317948,-0.343784441028783,-3.09250897982266,0.0148330707330548,1.82876893229119,0.0275964106661485,1.55914740087883,"yes","Decrease"
"PE_42:5;0","species",0.075511867753776,0.0806117904480437,0.0704119450595083,0.00563050813797198,0.00527967350507278,0.873469559082558,-0.195170669622707,-2.95486186206687,0.0182892575015517,1.73780392544345,0.0332531954573667,1.4781666149377,"yes","Decrease"
"PS_34:1;0","species",1.23448862627937,1.4355627811086,1.03341447145015,0.131101829740842,0.100773386705126,0.719867138553218,-0.474197433107099,-5.438115717049,0.000617355045220045,3.20946499831309,0.00261858722124513,2.5819329558184,"yes","Decrease"
"PS_34:0;0","species",0.0663337892403848,0.0870651592267015,0.0456024192540681,0.0206231480889747,0.0117431625203113,0.523773454951456,-0.932985149708814,-3.90665867528133,0.00450219385710539,2.34657580892267,0.010004875238012,1.99978832269801,"yes","Decrease"
"PS_36:2;0","species",1.98167371382183,2.01313240739697,1.95021502024668,0.207128316909819,0.281464779576628,0.968746523120332,-0.0458088675084083,-0.402581831935778,0.697799002243715,0.156269655868646,0.771851704028504,0.11246613270662,"no","No change"
"PS_36:1;0","species",2.85075462648154,2.74800625186274,2.95350300110034,0.304740975961835,0.429460491057997,1.07478030630327,0.104041791537306,0.872594316629363,0.40830994659436,0.389010040360058,0.494921147387103,0.305463988909983,"no","No change"
"PS_38:5;0","species",0.176655209380143,0.207379687766577,0.145930730993709,0.0298009735814043,0.0175890624446034,0.703688642631031,-0.506990866441952,-3.97069588030834,0.00411492101051478,2.38563849703174,0.00940553373831949,2.02661655439007,"yes","Decrease"
"PS_38:4;0","species",0.822351784933518,0.848914385779785,0.795789184087251,0.085039295129571,0.122047150200649,0.937419835754421,-0.0932327723962552,-0.79858743992537,0.447586474934887,0.349123045356137,0.534431611862552,0.27210786106502,"no","No change"
"PS_38:2;0","species",0.051357572002919,0.0492424841253079,0.0534726598805301,0.00635593692283167,0.00707413088017704,1.08590500317688,0.118897899237868,0.99462668630605,0.349046095127208,0.457117216199896,0.450382058228655,0.346418918706206,"no","No change"
"PS_38:1;0","species",0.105892685290402,0.115645199769492,0.0961401708113117,0.0148566274152886,0.0039545364723534,0.831337323148228,-0.266494111649384,-2.83691739415947,0.0219156605544569,1.65924543485112,0.0381141922686207,1.41891327954075,"yes","Decrease"
"PS_38:0;0","species",0.0986863619319476,0.0842133786642114,0.113159345199684,0.0181525975312971,0.0309823844059615,1.34372171019156,0.426234381495798,1.80249896789948,0.109135333851422,0.962034618684634,0.155907619787745,0.807132658698891,"no","No change"
"PS_40:7;0","species",0.0780712652643916,0.10270852110084,0.0534340094279428,0.0141484784790058,0.00690688448528104,0.520249039273778,-0.9427256991002,-6.99814035339511,0.000112847838901244,3.94750675348699,0.000694448239392268,3.15836011880188,"yes","Decrease"
"PS_40:6;0","species",0.511507999271824,0.631061888806583,0.391954109737066,0.0697416113181633,0.0705679222986489,0.621102488819758,-0.687096746067919,-5.3888859634082,0.000654646805311284,3.18399294714637,0.00261858722124513,2.5819329558184,"yes","Decrease"
"PS_40:5;0","species",0.0101923381912525,0.00992255587734385,0.0104621205051612,0.00127632647579951,0.00186415056014792,1.05437758521969,0.0763916058492291,0.534035721075888,0.607832730070996,0.2162159180986,0.694665977223995,0.158223971120913,"no","No change"
"PS_40:4;0","species",0.188026021521418,0.221565748293227,0.154486294749609,0.0191321879066071,0.00823227657024216,0.697248089741548,-0.520256018196228,-7.20152118043169,0.0000923132793386783,4.03473582087347,0.000636903122408126,3.19592662198685,"yes","Decrease"
