"path","from","to","score","cal_score","Type","Significant","rep_sub_path"
"PE_38:4;0 --> PC_38:4;0 --> LPC_16:0;0","PE_38:4;0","LPC_16:0;0",-0.853017665403626,0.651016331144307,"Suppressed","no","38:4"
"PS_38:4;0 --> PE_38:4;0 --> PC_38:4;0 --> LPC_18:1;0","PS_38:4;0","LPC_18:1;0",-1.23748189384498,0.643813434288685,"Suppressed","no","38:4"
"PE_38:5;0 --> PC_38:5;0 --> LPC_20:4;0","PE_38:5;0","LPC_20:4;0",-0.874422022220513,0.64230660143456,"Suppressed","no","38:5"
"PC_40:5;0 --> PS_40:5;0","PC_40:5;0","PS_40:5;0",-0.353390178878972,0.640117425683692,"Suppressed","no","40:5"
"PE_34:1;0 --> PC_34:1;0 --> LPC_20:0;0","PE_34:1;0","LPC_20:0;0",-0.905321313755026,0.629733251074601,"Suppressed","no","34:1"
"PC_38:4;0 --> LPC_20:3;0","PC_38:4;0","LPC_20:3;0",-0.385705004032223,0.627229443888032,"Suppressed","no","38:4"
"PC_34:0;0 --> PS_34:0;0 --> PE_34:0;0","PC_34:0;0","PE_34:0;0",-0.91427191671708,0.626091126566695,"Suppressed","no","34:0"
"PE_34:0;0 --> PC_34:0;0 --> PS_34:0;0","PE_34:0;0","PS_34:0;0",-0.91427191671708,0.626091126566695,"Suppressed","no","34:0"
"PS_34:0;0 --> PE_34:0;0 --> PC_34:0;0","PS_34:0;0","PC_34:0;0",-0.91427191671708,0.626091126566695,"Suppressed","no","34:0"
"PE_36:2;0 --> PS_36:2;0 --> LPS_18:1;0","PE_36:2;0","LPS_18:1;0",-0.917296458138513,0.624860398705915,"Suppressed","no","36:2"
"PC_36:0;0 --> LPC_18:0;0","PC_36:0;0","LPC_18:0;0",-0.403146680204755,0.620273255700989,"Suppressed","no","36:0"
"PS_38:4;0 --> PE_38:4;0 --> PC_38:4;0 --> LPC_20:4;0","PS_38:4;0","LPC_20:4;0",-1.32297558553327,0.609055560783202,"Suppressed","no","38:4"
"PC_40:5;0 --> LPC_18:1;0","PC_40:5;0","LPC_18:1;0",-0.44790722143944,0.602421602849373,"Suppressed","no","40:5"
"PE_38:4;0 --> PC_38:4;0 --> LPC_18:1;0","PE_38:4;0","LPC_18:1;0",-0.99045530002588,0.595091051083455,"Suppressed","no","38:4"
"PC_36:1;0 --> LPC_20:0;0","PC_36:1;0","LPC_20:0;0",-0.471357906502283,0.593068867665062,"Suppressed","no","36:1"
"PE_40:4;0 --> PC_40:4;0 --> LPC_20:3;0","PE_40:4;0","LPC_20:3;0",-1.04331711571932,0.573580844979383,"Suppressed","no","40:4"
"PS_42:5;0 --> LPS_20:4;0","PS_42:5;0","LPS_20:4;0",-0.522136563804794,0.572817035640003,"Suppressed","no","42:5"
"PC_38:4;0 --> PS_38:4;0","PC_38:4;0","PS_38:4;0",-0.537765985621942,0.566583621010624,"Suppressed","no","38:4"
"PE_36:1;0 --> PS_36:1;0 --> LPS_18:0;0","PE_36:1;0","LPS_18:0;0",-1.06112320707613,0.566335299400432,"Suppressed","no","36:1"
"PE_38:4;0 --> PC_38:4;0 --> LPC_20:4;0","PE_38:4;0","LPC_20:4;0",-1.08917491184637,0.554920671596541,"Suppressed","no","38:4"
"PC_40:5;0 --> LPC_20:4;0","PC_40:5;0","LPC_20:4;0",-0.568813559722358,0.554201051465286,"Suppressed","no","40:5"
"PC_40:5;0 --> PS_40:5;0 --> PE_40:5;0 --> LPE_18:1;0","PC_40:5;0","LPE_18:1;0",-1.47706673374861,0.546409059828354,"Suppressed","no","40:5"
"PS_36:2;0 --> PE_36:2;0 --> LPE_18:0;0","PS_36:2;0","LPE_18:0;0",-1.12027856414414,0.542264164007123,"Suppressed","no","36:2"
"PS_40:5;0 --> PE_40:5;0 --> LPE_18:1;0","PS_40:5;0","LPE_18:1;0",-1.1207491135448,0.542072690928542,"Suppressed","no","40:5"
"PC_38:4;0 --> PS_38:4;0 --> PE_38:4;0 --> LPE_16:0;0","PC_38:4;0","LPE_16:0;0",-1.48795529227785,0.541982263739163,"Suppressed","no","38:4"
