"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change"
"PS_34:1;0 --> LPS_16:0;0",0.00745053821812148,0.00612487816169556,0.822071907073559,-3.71565262114341,0.00590816976333273,2.22854703431144,0.0144244505032718,1.84090072222369,-0.629928909417398,"Decrease","Non-change",-0.475323825882682,-0.761227106842232," (18:1)"
"LPE_20:4;0 --> PE_40:4;0",35.1279617304925,26.3875101191764,0.751182500186768,-2.73401266052067,0.0256859128011378,1.59030499612795,0.0508093603584551,1.29405627240995,-0.656421670867966,"Decrease","Non-change",-0.0328969881777802,-0.431956575507554," (20:0)"
"LPC_18:1;0 --> PC_40:7;0",2.71907228190577,1.78484446493879,0.656416703894247,-2.02143991137998,0.0778845008772637,1.1085489589281,0.123672068775811,0.907728374309861,-0.673239678261969,"Decrease","Decrease",0.0774566413017429,-0.456407886984513," (22:6)"
"PA_36:0;0 --> LPA_16:0;0",42.4270546221432,36.0236502747108,0.849072616412772,-4.81526478290759,0.00132936964641129,2.87635424172449,0.0043231100901295,2.36420370480246,-0.678935087323745,"Decrease","Decrease",0.232581354342177,-0.00511571877550589," (20:0)"
"LPC_18:2;0 --> PC_40:8;0",4.43775877574928,2.58120606546,0.581646321013513,-1.68303125395791,0.130868081542423,0.883166264070458,0.189653743839555,0.722038579732551,-0.690446957374235,"Decrease","Decrease",0.171442297954542,-0.517538599061082," (22:6)"
"PA_40:2;0 --> LPA_18:0;0",643.771576981611,514.172601182243,0.798687950146842,-3.59732780500949,0.00700945091985413,2.1543160008375,0.0167608341112983,1.77570437228568,-0.698636378633925,"Decrease","Decrease",0.292954503848265,-0.0214080708789313," (22:2)"
"LPA_18:1;0 --> PA_36:3;0",0.0519361200463668,0.0422054704051968,0.812641960306568,-3.89376658030461,0.00458479022823321,2.33868053018041,0.0117730335956524,1.92911161667239,-0.699986343249412,"Decrease","Decrease",0.103650908431007,-0.196910299883304," (18:2)"
"LPC_20:4;0 --> PC_40:6;0",95.7481945301494,66.7353143099203,0.696987704440803,-2.37941892105446,0.0445860952552924,1.35080056046795,0.0793045037235517,1.10070214828459,-0.703490028153393,"Decrease","Decrease",0.0384567493481059,-0.442598471220872," (20:2)"
"LPE_18:1;0 --> PE_38:6;0",18.2946553894019,12.7090487914443,0.694686427316179,-2.37673315394377,0.0447733914011196,1.34898000834139,0.0793045037235517,1.10070214828459,-0.708978275883133,"Decrease","Decrease",0.147355340967451,-0.337981467759326," (20:5)"
"PA_36:2;0 --> LPA_20:1;0",0.534573793395615,0.476572531549952,0.891499990156198,-7.85812729900457,0.0000496596778512969,4.30399610209635,0.000357864832760615,3.44628097746475,-0.713143373153841,"Decrease","Non-change",0.298680991875815,0.133559689511679," (16:1)"
"LPA_18:2;0 --> PA_36:3;0",0.106030702802561,0.0867367801798326,0.818034568169791,-4.13686517998969,0.00326744106958985,2.48579223645828,0.00919246249358864,2.03656813343198,-0.720298783171465,"Decrease","Decrease",0.0935545056223235,-0.196910299883304," (18:1)"
"PS_40:7;0 --> LPS_22:6;0",0.00467356621609457,0.00357751450399142,0.765478510108914,-3.18666302609718,0.0128678166333698,1.89049513643055,0.0281982073394331,1.54977850045152,-0.728911060896737,"Decrease","Non-change",-0.706119260677502,-1.09837686950263," (18:1)"
"LPC_16:0;0 --> PC_36:4;0",19.8924845698096,13.9523469803581,0.701387849838187,-2.49677813545241,0.0371279694261937,1.43029880221779,0.068137785876965,1.16661198284679,-0.731906289749466,"Decrease","Decrease",0.0943562291821434,-0.400212068484833," (20:4)"
"PA_36:0;0 --> LPA_18:0;0",44.2181975988512,37.1203705040516,0.839481763612545,-4.98374449524372,0.00107444405401861,2.96881619316794,0.00365490801638968,2.43712354852201,-0.749415628230412,"Decrease","Decrease",0.232581354342177,-0.0214080708789313," (18:0)"
"PA_36:1;0 --> LPA_18:0;0",1.47598493130221,1.26396033420016,0.856350432443106,-5.79253714714663,0.000408626008109256,3.38867399497506,0.00193328865887685,2.71370329672264,-0.758137200305649,"Decrease","Decrease",0.201836489506787,-0.0214080708789313," (18:1)"
"LPE_20:4;0 --> PE_40:7;0",71.2981364403163,49.5195958525081,0.694542639188907,-2.52095766490203,0.0357554064217611,1.44665828109046,0.0661903391644486,1.17920539354737,-0.760746708720044,"Decrease","Non-change",-0.0328969881777802,-0.527302106211403," (20:3)"
"LPA_16:0;0 --> PA_36:5;0",0.0132533179143346,0.0102550571666029,0.7737728192207,-3.45806690403146,0.00859218649956394,2.06589630486933,0.0199015601827507,1.70111287574108,-0.764418909060434,"Decrease","Non-change",-0.00511571877550589,-0.374406766762147," (20:5)"
"LPC_18:1;0 --> PC_40:6;0",5.55466719433964,3.7061833477128,0.667219694366118,-2.32159120952055,0.0487980639711574,1.3115974079834,0.0858719177674264,1.06614883794546,-0.765666262797603,"Decrease","Decrease",0.0774566413017429,-0.442598471220872," (22:5)"
"PA_38:2;0 --> LPA_16:0;0",42.7127538666182,32.8207344729418,0.768405956109343,-3.46648272899752,0.0084865023740736,2.07127126295001,0.0197694167052202,1.70400614431512,-0.787206099236749,"Decrease","Decrease",0.365708081253147,-0.00511571877550589," (22:2)"
"LPA_22:4;0 --> PA_40:7;0",0.584254194885914,0.498909044444765,0.853924625294622,-5.93298730976532,0.000348567236728147,3.45771343643678,0.00170713953891556,2.76773097888277,-0.787734076154638,"Decrease","Non-change",-0.264915173509841,-0.491445101199122," (18:3)"
"LPA_20:4;0 --> PA_40:6;0",1.07348675074123,0.932691212786708,0.86884277998093,-6.91798317514561,0.000122291586095235,3.91260342226145,0.00075895465263684,3.11978417232315,-0.793604912877317,"Decrease","Non-change",-0.270370494023413,-0.474231502649154," (20:2)"
"LPA_18:0;0 --> PA_38:1;0",0.00976003078731842,0.00775872110682817,0.794948425460848,-4.0326996611619,0.00377385782114241,2.42321446576527,0.0101632802104414,1.99296610038109,-0.802245932552179,"Decrease","Non-change",-0.0214080708789313,-0.352037213405902," (20:1)"
"LPC_18:2;0 --> PC_36:4;0",53.3074134815139,34.3031439515964,0.643496686694284,-2.25781939639505,0.0539054968936181,1.2683669463375,0.0930470678864364,1.03129730787233,-0.80667551132773,"Decrease","Decrease",0.171442297954542,-0.400212068484833," (18:2)"
"PA_38:5;0 --> LPA_20:3;0",0.670509280338955,0.58861938798556,0.877869114187356,-7.84814103699085,0.0000501146226592799,4.30003553533731,0.000357864832760615,3.44628097746475,-0.808072299448739,"Decrease","Non-change",-0.0684387326018344,-0.256726018098367," (18:2)"
"LPC_20:0;0 --> PC_28:0;0",21.7895629568163,15.3230053245115,0.703226831803806,-2.74670086373825,0.0251870071674646,1.59882343424363,0.050066104711855,1.30045619665691,-0.81210314068839,"Decrease","Non-change",-0.945703991085753,-1.45161420593571," (8:0)"
"LPE_20:4;0 --> PE_40:6;0",150.630465309382,107.307886310458,0.712391653906509,-2.85084651344448,0.021451121690681,1.66854999339364,0.0437086765276283,1.35943234348632,-0.816350565659927,"Decrease","Non-change",-0.0328969881777802,-0.501112976782161," (20:2)"
"PE_36:3;0 --> LPE_18:0;0",0.0902424653146756,0.0679699707942657,0.753192751962774,-3.38201960789149,0.00961285823628402,2.01714746231224,0.0218303177265333,1.66093994336205,-0.82482970737853,"Decrease","Non-change",-0.196910299883304,-0.599823150619109," (18:3)"
"LPA_20:3;0 --> PA_40:7;0",0.474679187991814,0.403028533225411,0.849054568687688,-6.04567767725183,0.000307383707815105,3.51231915503246,0.0015618934653355,2.80634859209432,-0.829156049694073,"Decrease","Non-change",-0.256726018098367,-0.491445101199122," (20:4)"
"PS_38:1;0 --> LPS_18:0;0",0.613030900963439,0.486551223936596,0.793681400353445,-4.2153286970315,0.00293445732132489,2.53247220247274,0.00840040071210258,2.07569999692571,-0.844245441538075,"Decrease","Non-change",-0.352037213405902,-0.675446296646401," (20:1)"
"PA_38:0;0 --> LPA_22:0;0",50.5875451597981,33.2104174442887,0.656493952007006,-2.44195646443868,0.0404409063505238,1.39317911968291,0.0732765113784321,1.13503521517484,-0.845863651724796,"Decrease","Decrease",0.426234379173576,-0.204061474780306," (16:0)"
"LPA_20:4;0 --> PA_40:7;0",0.504132671499329,0.432082096098313,0.857080130937097,-6.71068045540139,0.000151034736910293,3.82092315659104,0.000889791602232377,3.05071169739821,-0.850147769856661,"Decrease","Non-change",-0.270370494023413,-0.491445101199122," (20:3)"
"LPA_16:0;0 --> PA_38:1;0",0.0101721714734214,0.00799490097350996,0.785958140245636,-4.15862136504056,0.00317120994851323,2.49877500475233,0.00901466324524915,2.0450504922873,-0.868263388031631,"Decrease","Non-change",-0.00511571877550589,-0.352037213405902," (22:1)"
"LPA_18:0;0 --> PA_40:1;0",0.0016501286402956,0.00124719449832512,0.755816527190087,-3.6121603740171,0.00686014082178438,2.16366696920634,0.0164521961301201,1.78377612181536,-0.873887842292811,"Decrease","Non-change",-0.0214080708789313,-0.424715807331028," (22:1)"
"LPA_20:1;0 --> PA_42:5;0",0.00741859710058551,0.00601381573788346,0.810640564023731,-4.83576255561798,0.00129509434216722,2.88769859390685,0.00426280040559493,2.37030500157244,-0.874584931118321,"Decrease","Decrease",0.133559689511679,-0.169651886803422," (22:4)"
"PA_38:2;0 --> LPA_18:0;0",44.4979833589626,33.8112463772987,0.759837723533342,-3.69417369596241,0.00609347932272236,2.2151346582409,0.0147633365009986,1.83081548125138,-0.877717770802657,"Decrease","Decrease",0.365708081253147,-0.0214080708789313," (20:2)"
"PE_38:2;0 --> LPE_16:0;0",0.0444563717083585,0.0337986214495658,0.760264955297984,-3.7157883195966,0.0059070183294204,2.22863168152858,0.0144244505032718,1.84090072222369,-0.881258474173659,"Decrease","Decrease",0.376694753448985,-0.0199175777326482," (22:2)"
"LPA_18:2;0 --> PA_40:8;0",0.0316857061227866,0.0206903917030153,0.652988184099074,-2.50200645183462,0.0368267237028326,1.43383691652582,0.0677378424669748,1.16916864028084,-0.881625037831637,"Decrease","Decrease",0.0935545056223235,-0.517538599061082," (22:6)"
"PA_38:5;0 --> LPA_22:4;0",0.544704156088176,0.475511333536471,0.872971737449889,-8.48985893815088,0.0000283994393908512,4.54669023290588,0.000230887442247621,3.63659968731181,-0.891120130261554,"Decrease","Non-change",-0.0684387326018344,-0.264915173509841," (16:1)"
"LPA_20:0;0 --> PA_42:4;0",0.000552060659827446,0.000429274468163272,0.777585688314481,-4.09674709213447,0.00345324211903427,2.46177297065888,0.0095818629446241,2.01855004541893,-0.893442473031919,"Decrease","Non-change",-0.105963316129745,-0.467959063891381," (22:4)"
